rank,score,full_name,title,email,phone,linkedin,company,company_website,company_industry,company_employees,location,disc_type,disc_profile,subject_line,email_opening,outreach_approach,ai_hook,avoid,source
50,79,,CTO,info@suuchi.com,(176) 467-5132,https://www.linkedin.com/company/suuchi/,Suuchi Inc,www.suuchi.com,Manufacturing (SMB),300,"Carlstadt, NJ",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Suuchi Inc,"Hi there, Based on our analysis of companies like Suuchi Inc, we've found that we build ai for predictive maintenance, quality inspection, and production scheduling — reducing downtime 30%. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI for predictive maintenance, quality inspection, and production scheduling — reducing downtime 30%",Don't make vague claims without backing them up,1000_database
51,79,,CTO,info@convoy.com,(220) 101-8345,http://www.linkedin.com/company/convoy-greypoint-inc-,Convoy,www.convoy.com,Logistics / Freight / 3PL,300,"Seattle, WA",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Convoy,"Hi there, Based on our analysis of companies like Convoy, we've found that we build ai that optimizes route planning, automates dispatch, and predicts delivery times with 95% accuracy. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that optimizes route planning, automates dispatch, and predicts delivery times with 95% accuracy",Don't make vague claims without backing them up,1000_database
52,79,,CTO,carrier@loadsmart.com,(954) 475-3865,https://www.linkedin.com/company/loadsmart,Loadsmart,www.loadsmart.com,Logistics / Freight / 3PL,300,"New York, NY",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Loadsmart,"Hi there, Based on our analysis of companies like Loadsmart, we've found that we build ai that optimizes route planning, automates dispatch, and predicts delivery times with 95% accuracy. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that optimizes route planning, automates dispatch, and predicts delivery times with 95% accuracy",Don't make vague claims without backing them up,1000_database
53,79,,CTO,info@mercurygate.com,(116) 474-9952,https://www.linkedin.com/company/infios,MercuryGate,www.mercurygate.com,Logistics / Freight / 3PL,400,"Cary, NC",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for MercuryGate,"Hi there, Based on our analysis of companies like MercuryGate, we've found that we build ai that optimizes route planning, automates dispatch, and predicts delivery times with 95% accuracy. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that optimizes route planning, automates dispatch, and predicts delivery times with 95% accuracy",Don't make vague claims without backing them up,1000_database
54,78,,CTO,unsubscribe@gohealthuc.com,(507) 349-5641,https://www.linkedin.com/company/gohealth-urgent-care,GoHealth Urgent Care,www.gohealthuc.com,Healthcare / Medical Practices,2500,"Atlanta, GA",S,"Steady, supportive, team-oriented",Supporting GoHealth Urgent Care's team with AI automation,"Hi there, I noticed your team has been doing incredible work at GoHealth Urgent Care. We build AI that automates patient scheduling, intake forms, and follow-ups — saving your staff 20+ hours/week. We'd be happy to show you exactly how it works — no pressure.","Be warm, show you care about their team, offer support","We build AI that automates patient scheduling, intake forms, and follow-ups — saving your staff 20+ hours/week",Don't pressure or use urgency tactics,1000_database
55,78,,Director of Technology,info@schweigerderm.com,(607) 417-1854,https://www.linkedin.com/company/schweiger-dermatology/,Schweiger Dermatology Group,www.schweigerderm.com,Healthcare / Medical Practices,1500,"New York, NY",S,"Steady, supportive, team-oriented",Supporting Schweiger Dermatology Group's team with AI automation,"Hi there, I noticed your team has been doing incredible work at Schweiger Dermatology Group. We build AI that automates patient scheduling, intake forms, and follow-ups — saving your staff 20+ hours/week. We'd be happy to show you exactly how it works — no pressure.","Be warm, show you care about their team, offer support","We build AI that automates patient scheduling, intake forms, and follow-ups — saving your staff 20+ hours/week",Don't pressure or use urgency tactics,1000_database
56,78,,Director of Operations,info@mydermgroup.com,(172) 416-2637,https://www.linkedin.com/company/integrated-dermatology-group/,Integrated Dermatology,www.mydermgroup.com,Healthcare / Medical Practices,1200,"Jacksonville, FL",S,"Steady, supportive, team-oriented",Supporting Integrated Dermatology's team with AI automation,"Hi there, I noticed your team has been doing incredible work at Integrated Dermatology. We build AI that automates patient scheduling, intake forms, and follow-ups — saving your staff 20+ hours/week. We'd be happy to show you exactly how it works — no pressure.","Be warm, show you care about their team, offer support","We build AI that automates patient scheduling, intake forms, and follow-ups — saving your staff 20+ hours/week",Don't pressure or use urgency tactics,1000_database
57,78,,Director of Digital Health,info@cvs.com,(684) 509-8009,https://www.linkedin.com/company/cvs-pharmacy,MinuteClinic (CVS Health),www.cvs.com/minuteclinic,Healthcare / Medical Practices,4000,"Woonsocket, RI",S,"Steady, supportive, team-oriented",Supporting MinuteClinic (CVS Health)'s team with AI automation,"Hi there, I noticed your team has been doing incredible work at MinuteClinic (CVS Health). We build AI that automates patient scheduling, intake forms, and follow-ups — saving your staff 20+ hours/week. We'd be happy to show you exactly how it works — no pressure.","Be warm, show you care about their team, offer support","We build AI that automates patient scheduling, intake forms, and follow-ups — saving your staff 20+ hours/week",Don't pressure or use urgency tactics,1000_database
58,78,,CTO,techsupport@onemedical.com,(015) 622-5786,https://www.linkedin.com/company/one-medical-group,One Medical,www.onemedical.com,Healthcare / Medical Practices,3000,"San Francisco, CA",S,"Steady, supportive, team-oriented",Supporting One Medical's team with AI automation,"Hi there, I noticed your team has been doing incredible work at One Medical. We build AI that automates patient scheduling, intake forms, and follow-ups — saving your staff 20+ hours/week. We'd be happy to show you exactly how it works — no pressure.","Be warm, show you care about their team, offer support","We build AI that automates patient scheduling, intake forms, and follow-ups — saving your staff 20+ hours/week",Don't pressure or use urgency tactics,1000_database
59,78,,CTO,support@carbonhealth.com,(115) 280-7572,https://www.linkedin.com/company/carbon-health,Carbon Health,www.carbonhealth.com,Healthcare / Medical Practices,2000,"San Francisco, CA",S,"Steady, supportive, team-oriented",Supporting Carbon Health's team with AI automation,"Hi there, I noticed your team has been doing incredible work at Carbon Health. We build AI that automates patient scheduling, intake forms, and follow-ups — saving your staff 20+ hours/week. We'd be happy to show you exactly how it works — no pressure.","Be warm, show you care about their team, offer support","We build AI that automates patient scheduling, intake forms, and follow-ups — saving your staff 20+ hours/week",Don't pressure or use urgency tactics,1000_database
60,78,,Director of IT,info@resurgens.com,(984) 259-0724,https://www.linkedin.com/company/resurgens-orthopaedics,Resurgens Orthopaedics,www.resurgens.com,Healthcare / Medical Practices,600,"Atlanta, GA",S,"Steady, supportive, team-oriented",Supporting Resurgens Orthopaedics's team with AI automation,"Hi there, I noticed your team has been doing incredible work at Resurgens Orthopaedics. We build AI that automates patient scheduling, intake forms, and follow-ups — saving your staff 20+ hours/week. We'd be happy to show you exactly how it works — no pressure.","Be warm, show you care about their team, offer support","We build AI that automates patient scheduling, intake forms, and follow-ups — saving your staff 20+ hours/week",Don't pressure or use urgency tactics,1000_database
61,78,,Director of Innovation,inquiriesmedia@gibsondunn.com,(177) 231-6499,https://www.linkedin.com/company/gibson-dunn/,Gibson Dunn,www.gibsondunn.com,Legal / Law Firms,1940,"Los Angeles, CA",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Gibson Dunn,"Hi there, Based on our analysis of companies like Gibson Dunn, we've found that we build ai that automates document review, client intake, and contract analysis — cutting paralegal costs by 40%. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates document review, client intake, and contract analysis — cutting paralegal costs by 40%",Don't make vague claims without backing them up,1000_database
62,78,,Director of IT,fpcontactus@fisherphillips.com,(143) 976-0884,https://www.linkedin.com/company/fisher-,Fisher Phillips,www.fisherphillips.com,Legal / Law Firms,600,"Atlanta, GA",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Fisher Phillips,"Hi there, Based on our analysis of companies like Fisher Phillips, we've found that we build ai that automates document review, client intake, and contract analysis — cutting paralegal costs by 40%. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates document review, client intake, and contract analysis — cutting paralegal costs by 40%",Don't make vague claims without backing them up,1000_database
63,78,,Director of Technology,info@jacksonlewis.com,(133) 178-1687,https://www.linkedin.com/company/jackson-lewis-p-c,Jackson Lewis,www.jacksonlewis.com,Legal / Law Firms,950,"White Plains, NY",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Jackson Lewis,"Hi there, Based on our analysis of companies like Jackson Lewis, we've found that we build ai that automates document review, client intake, and contract analysis — cutting paralegal costs by 40%. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates document review, client intake, and contract analysis — cutting paralegal costs by 40%",Don't make vague claims without backing them up,1000_database
64,78,,Director of Technology,webmaster@blankrome.com,(118) 760-9169,https://www.linkedin.com/company/blank-rome-llp/,Blank Rome,www.blankrome.com,Legal / Law Firms,600,"Philadelphia, PA",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Blank Rome,"Hi there, Based on our analysis of companies like Blank Rome, we've found that we build ai that automates document review, client intake, and contract analysis — cutting paralegal costs by 40%. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates document review, client intake, and contract analysis — cutting paralegal costs by 40%",Don't make vague claims without backing them up,1000_database
65,78,,Director of Technology,info@lewisbrisbois.com,(240) 199-4693,https://www.linkedin.com/company/lewis-brisbois,Lewis Brisbois,www.lewisbrisbois.com,Legal / Law Firms,1500,"Los Angeles, CA",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Lewis Brisbois,"Hi there, Based on our analysis of companies like Lewis Brisbois, we've found that we build ai that automates document review, client intake, and contract analysis — cutting paralegal costs by 40%. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates document review, client intake, and contract analysis — cutting paralegal costs by 40%",Don't make vague claims without backing them up,1000_database
66,78,,Director of Innovation,publicrelations@quinnemanuel.com,(639) 079-7148,https://www.linkedin.com/company/quinn-emanuel/,Quinn Emanuel,www.quinnemanuel.com,Legal / Law Firms,900,"Los Angeles, CA",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Quinn Emanuel,"Hi there, Based on our analysis of companies like Quinn Emanuel, we've found that we build ai that automates document review, client intake, and contract analysis — cutting paralegal costs by 40%. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates document review, client intake, and contract analysis — cutting paralegal costs by 40%",Don't make vague claims without backing them up,1000_database
67,78,,Director of Innovation,info@rpmliving.com,(512) 480-9886,https://www.linkedin.com/company/rpmliving,RPM Living,www.rpmliving.com,Real Estate / Property Management,5000,"Austin, TX",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for RPM Living,"Hi there, Based on our analysis of companies like RPM Living, we've found that we build ai that automates lead follow-up, property descriptions, and market analysis — closing deals 2x faster. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates lead follow-up, property descriptions, and market analysis — closing deals 2x faster",Don't make vague claims without backing them up,1000_database
68,78,,CTO,info@willowbridgepc.com,(169) 636-2820,https://www.linkedin.com/company/willow-bridge-pc/,Willow Bridge Property Co,www.willowbridgepc.com,Real Estate / Property Management,4500,"Dallas, TX",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Willow Bridge Property Co,"Hi there, Based on our analysis of companies like Willow Bridge Property Co, we've found that we build ai that automates lead follow-up, property descriptions, and market analysis — closing deals 2x faster. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates lead follow-up, property descriptions, and market analysis — closing deals 2x faster",Don't make vague claims without backing them up,1000_database
69,78,,CTO,info@cbre.com,(842) 672-1226,https://www.linkedin.com/company/cbre,CBRE,www.cbre.com,Real Estate / Property Management,130000,"Dallas, TX",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for CBRE,"Hi there, Based on our analysis of companies like CBRE, we've found that we build ai that automates lead follow-up, property descriptions, and market analysis — closing deals 2x faster. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates lead follow-up, property descriptions, and market analysis — closing deals 2x faster",Don't make vague claims without backing them up,1000_database
70,78,,Director of IT,info@winnco.com,(166) 143-9729,https://www.linkedin.com/company/78885,WinnResidential,www.winncompanies.com,Real Estate / Property Management,4000,"Boston, MA",D,"Results-driven, direct, bottom-line focused",WinnResidential + AI = 3x faster operations,"Hi there, I'll be direct — we build ai that automates lead follow-up, property descriptions, and market analysis — closing deals 2x faster. For a company like WinnResidential, that typically means $50K-$200K in annual savings.","Be direct, lead with ROI numbers, keep it short","We build AI that automates lead follow-up, property descriptions, and market analysis — closing deals 2x faster",Don't ramble or be vague. No fluff.,1000_database
71,78,,CTO,rhonda@heartlandrealtors.com,(372) 498-4848,https://www.linkedin.com/company/remax,RE/MAX,www.remax.com,Real Estate / Property Management,140000,"Denver, CO",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for RE/MAX,"Hi there, Based on our analysis of companies like RE/MAX, we've found that we build ai that automates lead follow-up, property descriptions, and market analysis — closing deals 2x faster. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates lead follow-up, property descriptions, and market analysis — closing deals 2x faster",Don't make vague claims without backing them up,1000_database
72,78,,CTO,info@exprealty.net,(833) 303-0610,https://www.linkedin.com/company/exp-realty,eXp Realty,www.exprealty.com,Real Estate / Property Management,85000,"Bellingham, WA",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for eXp Realty,"Hi there, Based on our analysis of companies like eXp Realty, we've found that we build ai that automates lead follow-up, property descriptions, and market analysis — closing deals 2x faster. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates lead follow-up, property descriptions, and market analysis — closing deals 2x faster",Don't make vague claims without backing them up,1000_database
73,78,,Director of Technology,michael.glass@marcusmillichap.com,(639) 045-2731,http://www.linkedin.com/company/6346,Marcus & Millichap,www.marcusmillichap.com,Real Estate / Property Management,2000,"Calabasas, CA",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Marcus & Millichap,"Hi there, Based on our analysis of companies like Marcus & Millichap, we've found that we build ai that automates lead follow-up, property descriptions, and market analysis — closing deals 2x faster. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates lead follow-up, property descriptions, and market analysis — closing deals 2x faster",Don't make vague claims without backing them up,1000_database
74,78,,CTO,michelle.snyder@bpretail.com,(708) 645-8750,https://www.linkedin.com/company/brookfieldproperties/,Brookfield Properties,www.brookfieldproperties.com,Real Estate / Property Management,18000,"New York, NY",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Brookfield Properties,"Hi there, Based on our analysis of companies like Brookfield Properties, we've found that we build ai that automates lead follow-up, property descriptions, and market analysis — closing deals 2x faster. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates lead follow-up, property descriptions, and market analysis — closing deals 2x faster",Don't make vague claims without backing them up,1000_database
75,78,,CTO,media@realpage.com,(772) 189-9375,https://www.linkedin.com/company/realpage,RealPage,www.realpage.com,Real Estate / Property Management,3500,"Richardson, TX",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for RealPage,"Hi there, Based on our analysis of companies like RealPage, we've found that we build ai that automates lead follow-up, property descriptions, and market analysis — closing deals 2x faster. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates lead follow-up, property descriptions, and market analysis — closing deals 2x faster",Don't make vague claims without backing them up,1000_database
76,78,,CTO,kate.bang@usi.com,(360) 514-2025,https://www.linkedin.com/company/usi-insurance-services,USI Insurance Services,www.usi.com,Insurance Agencies,10500,"Valhalla, NY",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for USI Insurance Services,"Hi there, Based on our analysis of companies like USI Insurance Services, we've found that we build ai that automates quote comparisons, claims processing, and policy renewals — 3x faster than manual. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates quote comparisons, claims processing, and policy renewals — 3x faster than manual",Don't make vague claims without backing them up,1000_database
77,78,,CTO,username@email.com,(792) 749-2383,https://www.linkedin.com/company/acrisure,Acrisure,www.acrisure.com,Insurance Agencies,16000,"Grand Rapids, MI",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Acrisure,"Hi there, Based on our analysis of companies like Acrisure, we've found that we build ai that automates quote comparisons, claims processing, and policy renewals — 3x faster than manual. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates quote comparisons, claims processing, and policy renewals — 3x faster than manual",Don't make vague claims without backing them up,1000_database
78,78,,CTO,info@assuredpartners.com,(190) 751-4478,https://www.linkedin.com/company/gallagher-global,AssuredPartners,www.assuredpartners.com,Insurance Agencies,11000,"Lake Mary, FL",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for AssuredPartners,"Hi there, Based on our analysis of companies like AssuredPartners, we've found that we build ai that automates quote comparisons, claims processing, and policy renewals — 3x faster than manual. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates quote comparisons, claims processing, and policy renewals — 3x faster than manual",Don't make vague claims without backing them up,1000_database
79,78,,Director of Technology,info@risk-strategies.com,(810) 977-2860,https://www.linkedin.com/company/risk-strategies-company/,Risk Strategies,www.risk-strategies.com,Insurance Agencies,5000,"Boston, MA",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Risk Strategies,"Hi there, Based on our analysis of companies like Risk Strategies, we've found that we build ai that automates quote comparisons, claims processing, and policy renewals — 3x faster than manual. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates quote comparisons, claims processing, and policy renewals — 3x faster than manual",Don't make vague claims without backing them up,1000_database
80,78,,CTO,info@alliant.com,(000) 000-0004,http://www.linkedin.com/company/alliant-insurance-services,Alliant Insurance Services,www.alliant.com,Insurance Agencies,3500,"Newport Beach, CA",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Alliant Insurance Services,"Hi there, Based on our analysis of companies like Alliant Insurance Services, we've found that we build ai that automates quote comparisons, claims processing, and policy renewals — 3x faster than manual. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates quote comparisons, claims processing, and policy renewals — 3x faster than manual",Don't make vague claims without backing them up,1000_database
81,78,,Director of Technology,info@epicbrokers.com,(177) 160-6825,https://www.linkedin.com/company/epicinsurancebrokers/,EPIC Insurance Brokers,www.epicbrokers.com,Insurance Agencies,2800,"San Francisco, CA",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for EPIC Insurance Brokers,"Hi there, Based on our analysis of companies like EPIC Insurance Brokers, we've found that we build ai that automates quote comparisons, claims processing, and policy renewals — 3x faster than manual. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates quote comparisons, claims processing, and policy renewals — 3x faster than manual",Don't make vague claims without backing them up,1000_database
82,78,,Director of Innovation,info@holmesmurphy.com,(877) 951-1776,https://www.linkedin.com/company/holmes-murphy,Holmes Murphy,www.holmesmurphy.com,Insurance Agencies,1800,"Waukee, IA",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Holmes Murphy,"Hi there, Based on our analysis of companies like Holmes Murphy, we've found that we build ai that automates quote comparisons, claims processing, and policy renewals — 3x faster than manual. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates quote comparisons, claims processing, and policy renewals — 3x faster than manual",Don't make vague claims without backing them up,1000_database
83,78,,Director of IT,info@relationinsurance.com,(177) 240-3543,https://www.linkedin.com/company/relation-insurance-services/,Relation Insurance Services,www.relationinsurance.com,Insurance Agencies,2000,"Scottsdale, AZ",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Relation Insurance Services,"Hi there, Based on our analysis of companies like Relation Insurance Services, we've found that we build ai that automates quote comparisons, claims processing, and policy renewals — 3x faster than manual. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates quote comparisons, claims processing, and policy renewals — 3x faster than manual",Don't make vague claims without backing them up,1000_database
84,78,,CTO,info@lemonade.com,(960) 413-7856,https://www.linkedin.com/company/lemonade-inc-,Lemonade,www.lemonade.com,Insurance Agencies,1500,"New York, NY",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Lemonade,"Hi there, Based on our analysis of companies like Lemonade, we've found that we build ai that automates quote comparisons, claims processing, and policy renewals — 3x faster than manual. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates quote comparisons, claims processing, and policy renewals — 3x faster than manual",Don't make vague claims without backing them up,1000_database
85,78,,Director of Technology,info@brightway.com,(634) 058-0170,https://www.linkedin.com/company/brightway-insurance/,Brightway Insurance,www.brightway.com,Insurance Agencies,1500,"Jacksonville, FL",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Brightway Insurance,"Hi there, Based on our analysis of companies like Brightway Insurance, we've found that we build ai that automates quote comparisons, claims processing, and policy renewals — 3x faster than manual. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates quote comparisons, claims processing, and policy renewals — 3x faster than manual",Don't make vague claims without backing them up,1000_database
86,78,,CTO,itservicedesk@selective.com,(014) 238-4731,https://www.linkedin.com/company/selective-insurance,Selective Insurance,www.selective.com,Insurance Agencies,2500,"Branchville, NJ",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Selective Insurance,"Hi there, Based on our analysis of companies like Selective Insurance, we've found that we build ai that automates quote comparisons, claims processing, and policy renewals — 3x faster than manual. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates quote comparisons, claims processing, and policy renewals — 3x faster than manual",Don't make vague claims without backing them up,1000_database
87,78,,CTO,kerri_hinkel@cinfin.com,(033) 126-0218,https://www.linkedin.com/company/the-cincinnati-insurance-companies/,Cincinnati Financial,www.cinfin.com,Insurance Agencies,5000,"Fairfield, OH",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Cincinnati Financial,"Hi there, Based on our analysis of companies like Cincinnati Financial, we've found that we build ai that automates quote comparisons, claims processing, and policy renewals — 3x faster than manual. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates quote comparisons, claims processing, and policy renewals — 3x faster than manual",Don't make vague claims without backing them up,1000_database
88,78,,Director of IT,brandmarketing@msagroup.com,(349) 999-9999,https://www.linkedin.com/company/main-street-america-insurance,Main Street America Insurance,www.msagroup.com,Insurance Agencies,800,"Jacksonville, FL",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Main Street America Insurance,"Hi there, Based on our analysis of companies like Main Street America Insurance, we've found that we build ai that automates quote comparisons, claims processing, and policy renewals — 3x faster than manual. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates quote comparisons, claims processing, and policy renewals — 3x faster than manual",Don't make vague claims without backing them up,1000_database
89,78,,CTO,info@aspendental.com,(754) 029-4658,https://www.linkedin.com/company/aspen-dental/,Aspen Dental (TAG),www.aspendental.com,Dental (DSO),18000,"Chicago, IL",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Aspen Dental (TAG),"Hi there, Based on our analysis of companies like Aspen Dental (TAG), we've found that we build ai assistants that handle appointment scheduling, insurance verification, and patient reminders automatically. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI assistants that handle appointment scheduling, insurance verification, and patient reminders automatically",Don't make vague claims without backing them up,1000_database
90,78,,Director of IT,info@benevis.com,(177) 203-2338,https://www.linkedin.com/company/benevisdental,Benevis,www.benevis.com,Dental (DSO),4000,"Atlanta, GA",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Benevis,"Hi there, Based on our analysis of companies like Benevis, we've found that we build ai assistants that handle appointment scheduling, insurance verification, and patient reminders automatically. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI assistants that handle appointment scheduling, insurance verification, and patient reminders automatically",Don't make vague claims without backing them up,1000_database
91,78,,Director of Technology,communications@affordablecare.com,(503) 589-2226,https://www.linkedin.com/company/affordable-dentures/,Affordable Care (Affordable Dentures),www.affordabledentures.com,Dental (DSO),3000,"Kinston, NC",S,"Steady, supportive, team-oriented",Supporting Affordable Care (Affordable Dentures)'s team with AI automation,"Hi there, I noticed your team has been doing incredible work at Affordable Care (Affordable Dentures). We build AI assistants that handle appointment scheduling, insurance verification, and patient reminders automatically. We'd be happy to show you exactly how it works — no pressure.","Be warm, show you care about their team, offer support","We build AI assistants that handle appointment scheduling, insurance verification, and patient reminders automatically",Don't pressure or use urgency tactics,1000_database
92,78,,CTO,info@specialtydentalbrands.com,(504) 285-2153,https://www.linkedin.com/company/specialty-dental-brands/,Specialty Dental Brands,www.specialtydentalbrands.com,Dental (DSO),1000,"Nashville, TN",I,"Enthusiastic, relationship-oriented, big-picture",The AI vision for Specialty Dental Brands's next chapter,"Hi there, I love what you're building at Specialty Dental Brands! We build AI assistants that handle appointment scheduling, insurance verification, and patient reminders automatically. I'd love to explore what's possible together.","Be enthusiastic, paint the vision, use social proof","We build AI assistants that handle appointment scheduling, insurance verification, and patient reminders automatically",Don't lead with data dumps or technical specs,1000_database
93,78,,Director of IT,info@risasdental.com,(844) 651-5280,https://www.linkedin.com/company/risas-dental-and-braces,Risas Dental,www.risasdental.com,Dental (DSO),1000,"Phoenix, AZ",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Risas Dental,"Hi there, Based on our analysis of companies like Risas Dental, we've found that we build ai assistants that handle appointment scheduling, insurance verification, and patient reminders automatically. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI assistants that handle appointment scheduling, insurance verification, and patient reminders automatically",Don't make vague claims without backing them up,1000_database
94,78,,Director of Technology,info@rodeodental.com,(777) 777-7778,https://www.linkedin.com/company/rodeo-dental-,Rodeo Dental,www.rodeodental.com,Dental (DSO),800,"Fort Worth, TX",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Rodeo Dental,"Hi there, Based on our analysis of companies like Rodeo Dental, we've found that we build ai assistants that handle appointment scheduling, insurance verification, and patient reminders automatically. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI assistants that handle appointment scheduling, insurance verification, and patient reminders automatically",Don't make vague claims without backing them up,1000_database
95,78,,CTO,info@corusortho.com,(333) 333-3333,https://www.linkedin.com/company/corus-orthodontists/,Corus Orthodontists,www.corusortho.com,Dental (DSO),800,"Toronto, ON",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Corus Orthodontists,"Hi there, Based on our analysis of companies like Corus Orthodontists, we've found that we build ai assistants that handle appointment scheduling, insurance verification, and patient reminders automatically. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI assistants that handle appointment scheduling, insurance verification, and patient reminders automatically",Don't make vague claims without backing them up,1000_database
96,78,,CTO,info@creativeplanning.com,(167) 933-6597,https://www.linkedin.com/company/creative-planning-inc-/,Creative Planning,www.creativeplanning.com,Financial Advisory / Wealth Management,2000,"Overland Park, KS",I,"Enthusiastic, relationship-oriented, big-picture",The AI vision for Creative Planning's next chapter,"Hi there, I love what you're building at Creative Planning! We build AI that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work. I'd love to explore what's possible together.","Be enthusiastic, paint the vision, use social proof","We build AI that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work",Don't lead with data dumps or technical specs,1000_database
97,78,,CTO,info@edelmanfinancialengines.com,(784) 289-9024,https://www.linkedin.com/company/edelman-financial-engines,Edelman Financial Engines,www.edelmanfinancialengines.com,Financial Advisory / Wealth Management,3000,"Santa Clara, CA",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Edelman Financial Engines,"Hi there, Based on our analysis of companies like Edelman Financial Engines, we've found that we build ai that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work",Don't make vague claims without backing them up,1000_database
98,78,,CTO,info@edwardjones.com,(855) 443-9883,https://www.linkedin.com/company/edward-jones,Edward Jones,www.edwardjones.com,Financial Advisory / Wealth Management,52000,"St. Louis, MO",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Edward Jones,"Hi there, Based on our analysis of companies like Edward Jones, we've found that we build ai that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work",Don't make vague claims without backing them up,1000_database
