company,website,phone,linkedin_company,industry,employees,city,state,country,address,postal_code,category,rating,reviews,founded_year,source
"Technogen, Inc.",http://www.technogeninc.com,,http://www.linkedin.com/company/technogeninc,information technology & services,240,Chantilly,Virginia,United States,,,,,,2003,apollo
BotCity,http://www.botcity.ai,,http://www.linkedin.com/company/botcity,information technology & services,51,San Francisco,California,United States,,,,,,2018,apollo
"ExcelGens, Inc.",http://www.excelgens.com,,http://www.linkedin.com/company/excelgens-inc,information technology & services,240,Denville,New Jersey,United States,,,,,,2011,apollo
Noblesoft Solutions,http://www.noblesoft-solutions.com,,http://www.linkedin.com/company/noblesoft-solutions,information technology & services,150,Langhorne,Pennsylvania,United States,,,,,,2007,apollo
CodeNinja Inc.,http://www.codeninjaconsulting.com,,http://www.linkedin.com/company/codeninjainc,information technology & services,230,Austin,Texas,United States,,,,,,2014,apollo
Staffigo,http://www.staffigo.com,,http://www.linkedin.com/company/staffigo,information technology & services,140,Woodridge,Illinois,United States,,,,,,,apollo
Thoughtful AI,http://www.smartertech.com,,http://www.linkedin.com/company/thoughtful-ai,information technology & services,160,Austin,Texas,United States,,,,,,2020,apollo
Comptech Associates,http://www.comptechassoc.com,,http://www.linkedin.com/company/comptech-associates-inc.,information technology & services,66,Franklin Township,New Jersey,United States,,,,,,1998,apollo
Numeric Technologies,http://www.numerictech.com,,http://www.linkedin.com/company/numerictech,information technology & services,330,Warrenville,Illinois,United States,,,,,,1996,apollo
Inactive Page,http://www.wisemen.com,,http://www.linkedin.com/company/pleasefollownewpage,information technology & services,120,Houston,Texas,United States,,,,,,1997,apollo
HelpSystems,http://www.helpsystems.com,,http://www.linkedin.com/company/helpsystems-llc,information technology & services,170,Eden Prairie,Minnesota,United States,,,,,,1982,apollo
SysTechCorp Inc,http://www.systechus.com,,http://www.linkedin.com/company/systechcorp,information technology & services,220,South Plainfield,New Jersey,United States,,,,,,2019,apollo
Technology Ventures,http://www.tventures.net,,http://www.linkedin.com/company/technology-ventures,information technology & services,82,McLean,Virginia,United States,,,,,,1999,apollo
Quantum Integrators,http://www.quantumintegrators.com,,http://www.linkedin.com/company/quantum-integrators-group-llc,information technology & services,280,West Windsor Township,New Jersey,United States,,,,,,2005,apollo
The Lab Consulting,http://www.thelabconsulting.com,,http://www.linkedin.com/company/the-lab-consulting,management consulting,99,Houston,Texas,United States,,,,,,1993,apollo
ComResource,http://www.comresource.com,,http://www.linkedin.com/company/comresource,information technology & services,150,Columbus,Ohio,United States,,,,,,1991,apollo
McLaren Strategic Solutions (MSS),http://www.mclarenss.com,,http://www.linkedin.com/company/mclaren-strategic-solutions-mss,management consulting,150,Irvine,California,United States,,,,,,2011,apollo
Experfy,http://www.experfy.com,,http://www.linkedin.com/company/experfy,information technology & services,44,Boston,Massachusetts,United States,,,,,,2014,apollo
GGK Tech,,,http://www.linkedin.com/company/ggk-tech,information technology & services,450,Duluth,Georgia,United States,,,,,,1998,apollo
Hyperscience,http://www.hyperscience.ai,,http://www.linkedin.com/company/hyperscience,information technology & services,230,New York,New York,United States,,,,,,2014,apollo
Agile Tech Labs,http://www.agile-techlabs.com,,http://www.linkedin.com/company/agile-techlabs,information technology & services,43,Southfield,Michigan,United States,,,,,,2018,apollo
Figure,http://www.figure.ai,,http://www.linkedin.com/company/figure-ai,machinery,370,San Jose,California,United States,,,,,,2022,apollo
Agility Robotics,http://www.agilityrobotics.com,,http://www.linkedin.com/company/agilityrobotics,mechanical or industrial engineering,420,Salem,Oregon,United States,,,,,,2015,apollo
GBIT (Global Bridge InfoTech Inc),http://www.gbitinc.com,,http://www.linkedin.com/company/global-bridge-infotech-inc-,information technology & services,130,Irving,Texas,United States,,,,,,2006,apollo
Radiant Digital,http://www.radiant.digital,,http://www.linkedin.com/company/radiant-digital-solutions,information technology & services,260,Vienna,Virginia,United States,,,,,,2000,apollo
Seargin,http://www.seargin.com,,http://www.linkedin.com/company/seargin,information technology & services,260,New York,New York,United States,,,,,,2014,apollo
QuantumBricks,http://www.quantumbricks.io,,http://www.linkedin.com/company/quantumbricks-inc,information technology & services,170,Newark,Delaware,United States,,,,,,2014,apollo
Blue Polaris,http://www.bluepolaris.com,,http://www.linkedin.com/company/decision-management-solutions,management consulting,64,Palo Alto,California,United States,,,,,,2008,apollo
Data Science Council of America,http://www.dasca.org,,http://www.linkedin.com/company/data-science-council-of-america,government administration,39,Austin,Texas,United States,,,,,,,apollo
Open Data Science Conference (ODSC),http://www.odsc.ai,,http://www.linkedin.com/company/odsc-ai,information services,190,Cambridge,Massachusetts,United States,,,,,,2015,apollo
Maven Analytics,http://www.mavenanalytics.io,,http://www.linkedin.com/company/maven-analytics,e-learning,96,Boston,Massachusetts,United States,,,,,,2018,apollo
Boston Institute of Analytics,http://www.bostoninstituteofanalytics.org,,http://www.linkedin.com/company/boston-institute-of-analytics,education management,470,Boston,Massachusetts,United States,,,,,,2019,apollo
Free Online Courses,http://www.onlinetutorials.org,,http://www.linkedin.com/company/freeonlinecourseswithcertificate,e-learning,14,Los Alamitos,California,United States,,,,,,2016,apollo
The Data Science Institute at Columbia University,http://datascience.columbia.edu,,http://www.linkedin.com/company/datascicolumbia,higher education,78,New York,New York,United States,,,,,,2012,apollo
Insight Data Science,http://www.insightfellows.com,,http://www.linkedin.com/company/insight-data-science,higher education,95,San Francisco,California,United States,,,,,,2012,apollo
Posit PBC,http://www.posit.co,,http://www.linkedin.com/company/posit-software,information technology & services,440,Boston,Massachusetts,United States,,,,,,2009,apollo
Revolution Analytics,,,http://www.linkedin.com/company/revolution_analytics,information technology & services,450,Mountain View,California,United States,,,,,,1977,apollo
Aryng,http://www.aryng.com,,http://www.linkedin.com/company/aryng,management consulting,32,Santa Clara,California,United States,,,,,,2011,apollo
Absolutdata Analytics-an Infogain company,http://www.absolutdata.com,,http://www.linkedin.com/company/absolutdata-analytics,information technology & services,380,Alameda,California,United States,,,,,,2001,apollo
Saras Analytics,http://www.sarasanalytics.com,,http://www.linkedin.com/company/sarasanalytics,information technology & services,210,Westborough,Massachusetts,United States,,,,,,2016,apollo
Women in Analytics (WIA),http://www.womeninanalytics.com,,http://www.linkedin.com/company/women-in-analytics-community,civic & social organization,26,Columbus,Ohio,United States,,,,,,2016,apollo
RBW Consulting,http://www.rbwconsulting.com,,http://www.linkedin.com/company/rbw-consulting,staffing & recruiting,68,Boston,Massachusetts,United States,,,,,,2007,apollo
Data Science Connect,http://www.datasciconnect.com,,http://www.linkedin.com/company/data-science-connect,information technology & services,17,Atlanta,Georgia,United States,,,,,,,apollo
TEG Analytics,http://www.teganalytics.com,,http://www.linkedin.com/company/teg-analytics,management consulting,57,Westport,Connecticut,United States,,,,,,2008,apollo
Decision Point Analytics,http://www.decisionpoint.ai,,http://www.linkedin.com/company/decision-point-pvt-ltd-,management consulting,330,Roswell,Georgia,United States,,,,,,2012,apollo
KDnuggets,http://www.kdnuggets.com,,http://www.linkedin.com/company/kdnuggets,information technology & services,160,San Juan,Texas,United States,,,,,,2001,apollo
Data Science Alliance,http://www.datasciencealliance.org,,http://www.linkedin.com/company/data-science-alliance,civic & social organization,52,San Diego,California,United States,,,,,,2019,apollo
Equity Data Science (EDS),http://www.equitydatascience.com,,http://www.linkedin.com/company/equitydatascience,financial services,81,New York,New York,United States,,,,,,2017,apollo
Neal Analytics,,,http://www.linkedin.com/company/nealanalytics,information technology & services,35,Bellevue,Washington,United States,,,,,,2011,apollo
Snow Data Science,http://www.snowdatascience.org,,http://www.linkedin.com/company/snow-datascience,information technology & services,32,Houston,Texas,United States,,,,,,,apollo
Maxonic Inc.,http://www.maxonic.com,,http://www.linkedin.com/company/maxonic,information technology & services,290,Campbell,California,United States,,,,,,2002,apollo
Global Analytics India Pvt Ltd.,,,http://www.linkedin.com/company/global-analytics,financial services,130,San Diego,California,United States,,,,,,2003,apollo
Analytic Recruiting Inc.,http://www.analyticrecruiting.com,,http://www.linkedin.com/company/analytic-recruiting,staffing & recruiting,47,New York,New York,United States,,,,,,1980,apollo
Mashable,http://www.mashable.com,,http://www.linkedin.com/company/mashable,online media,420,New York,New York,United States,,,,,,2005,apollo
UChicago Data Science Institute,,,http://www.linkedin.com/company/dsi-uchicago,research,73,Chicago,Illinois,United States,,,,,,2021,apollo
Namasys Analytics,http://www.namasys.ai,,http://www.linkedin.com/company/namasys-company,information technology & services,52,Elk Grove,California,United States,,,,,,2013,apollo
Sky Consulting Inc.,http://www.skyconsulting-inc.com,,http://www.linkedin.com/company/skyconsulting-inc,staffing & recruiting,19,Cedar Rapids,Iowa,United States,,,,,,2012,apollo
Digital Infuzion,http://www.digitalinfuzion.com,,http://www.linkedin.com/company/digital-infuzion,information technology & services,150,Rockville,Maryland,United States,,,,,,1999,apollo
Everstream Analytics,http://www.everstream.ai,,http://www.linkedin.com/company/everstreamai,logistics & supply chain,190,San Marcos,California,United States,,,,,,,apollo
Burtch Works,http://www.burtchworks.com,,http://www.linkedin.com/company/burtch-works,information technology & services,51,Chicago,Illinois,United States,,,,,,2009,apollo
Kennesaw State University -  School of Data Science and Analytics,,,http://www.linkedin.com/school/ksudata,higher education,58,Kennesaw,Georgia,United States,,,,,,2021,apollo
Reveation Labs,http://www.reveation.io,,http://www.linkedin.com/company/reveation-labs,information technology & services,45,Plano,Texas,United States,,,,,,2020,apollo
LENS Corporation,http://www.lenscorp.ai,,http://www.linkedin.com/company/lens-corporation,research,59,Lansing,Michigan,United States,,,,,,2016,apollo
PyTorch,http://www.pytorch.org,,http://www.linkedin.com/company/pytorch,research,62,San Francisco,California,United States,,,,,,2017,apollo
Databricks Mosaic Research,,,http://www.linkedin.com/company/mosaicresearch,information technology & services,51,San Francisco,California,United States,,,,,,2021,apollo
Cyble,http://www.cyble.com,,http://www.linkedin.com/company/cyble-global,computer & network security,250,Cupertino,California,United States,,,,,,2019,apollo
Deepgram,http://www.deepgram.com,,http://www.linkedin.com/company/deepgram,information technology & services,270,San Francisco,California,United States,,,,,,2015,apollo
invideo,http://www.invideo.io,,http://www.linkedin.com/company/invideoio,information technology & services,130,Daly City,California,United States,,,,,,2017,apollo
Carnegie Mellon University School of Computer Science,,,http://www.linkedin.com/school/cmuscs,higher education,480,Pittsburgh,Pennsylvania,United States,,,,,,1988,apollo
Odiin.,http://www.odiin.tech,,http://www.linkedin.com/company/odiin,staffing & recruiting,41,Austin,Texas,United States,,,,,,2018,apollo
Hyperbots Inc.,http://www.hyperbots.com,,http://www.linkedin.com/company/hyperbots-inc,information technology & services,110,Dover,Delaware,United States,,,,,,2023,apollo
Professional.me,http://www.professional.me,,http://www.linkedin.com/company/meetprofessionalme,internet,100,Dover,Delaware,United States,,,,,,2024,apollo
"Towards AI, Inc.",http://www.towardsai.net,,http://www.linkedin.com/company/towards-artificial-intelligence,information technology & services,86,Wilmington,Delaware,United States,,,,,,2019,apollo
"TWO95 International, Inc",http://www.two95intl.com,,http://www.linkedin.com/company/two95-international,information technology & services,150,Cherry Hill,New Jersey,United States,,,,,,2009,apollo
Remote Work Junkie,http://www.remoteworkjunkie.com,,http://www.linkedin.com/company/remote-work-junkie,information technology & services,36,,Oregon,United States,,,,,,2021,apollo
HonestAI - Building AI Powered Apps & Agentifying Companies,http://www.graycyan.ai,,http://www.linkedin.com/company/honest-ai-engine,information technology & services,79,San Francisco,California,United States,,,,,,2018,apollo
Chorus by ZoomInfo,,,http://www.linkedin.com/company/chorus.ai,information technology & services,21,San Francisco,California,United States,,,,,,,apollo
VISCR AI,http://www.viscr.ai,,http://www.linkedin.com/company/viscrai,computer & network security,15,Washington,District of Columbia,United States,,,,,,2023,apollo
Unwrap,http://www.unwrap.ai,,http://www.linkedin.com/company/unwrapai,information technology & services,36,Santa Barbara,California,United States,,,,,,2022,apollo
Bessemer Venture Partners,http://www.bvp.com,,http://www.linkedin.com/company/bessemer-venture-partners,venture capital & private equity,420,San Francisco,California,United States,,,,,,1911,apollo
SproutsAI,http://www.sproutsai.com,,http://www.linkedin.com/company/aiagent,information technology & services,41,Sunnyvale,California,United States,,,,,,2022,apollo
VMock,http://www.vmock.com,,http://www.linkedin.com/company/vmock-inc,information technology & services,150,Chicago,Illinois,United States,,,,,,2009,apollo
Samaya AI,,,http://www.linkedin.com/company/samaya-ai,information technology & services,34,,,United States,,,,,,,apollo
Hypersonix Inc.,http://www.hypersonix.ai,,http://www.linkedin.com/company/hypersonix-ai,information technology & services,110,San Francisco,California,United States,,,,,,2019,apollo
Deltacubes,http://www.deltacubes.us,,http://www.linkedin.com/company/deltacubes,information technology & services,200,,New Jersey,United States,,,,,,2017,apollo
Chroma,http://www.trychroma.com,,http://www.linkedin.com/company/trychroma,information technology & services,97,San Francisco,California,United States,,,,,,,apollo
QuillBot,http://www.quillbot.com,,http://www.linkedin.com/company/quillbot,information technology & services,230,Chicago,Illinois,United States,,,,,,2017,apollo
H2O.ai,http://www.h2o.ai,,http://www.linkedin.com/company/h2oai,information technology & services,330,Mountain View,California,United States,,,,,,2012,apollo
Intelletec,http://www.intelletec.com,,http://www.linkedin.com/company/intelletec-ltd,staffing & recruiting,45,Los Angeles,California,United States,,,,,,2013,apollo
CirrusLabs,http://www.cirruslabs.io,,http://www.linkedin.com/company/cirruslabs,information technology & services,300,Alpharetta,Georgia,United States,,,,,,2005,apollo
BigRio,http://www.bigr.io,,http://www.linkedin.com/company/bigrio,information technology & services,99,Boston,Massachusetts,United States,,,,,,2013,apollo
bluCognition,http://www.blucognition.com,,http://www.linkedin.com/company/blucognition,information technology & services,280,New York,New York,United States,,,,,,2018,apollo
"Trilyon, Inc.",http://www.trilyonservices.com,,http://www.linkedin.com/company/trilyon,information technology & services,96,Cupertino,California,United States,,,,,,2009,apollo
OneOrigin,http://www.oneorigin.us,,http://www.linkedin.com/company/oneorigin,information technology & services,190,Scottsdale,Arizona,United States,,,,,,2015,apollo
Averity,http://www.averityteam.com,,http://www.linkedin.com/company/averity,staffing & recruiting,16,New York,New York,United States,,,,,,2014,apollo
AI Loves Data,http://www.datascience.salon,,http://www.linkedin.com/company/data-science-salon,information services,24,Miami,Florida,United States,,,,,,2016,apollo
Veracity Software Inc,http://www.veracity-us.com,,http://www.linkedin.com/company/veracityventuresinc,information technology & services,95,Woodbridge Township,New Jersey,United States,,,,,,,apollo
Drover AI,http://www.drover.ai,,http://www.linkedin.com/company/drover-ai,information technology & services,13,Los Angeles,California,United States,,,,,,2020,apollo
OpenCV University,,,http://www.linkedin.com/school/opencv-university,education management,41,Palo Alto,California,United States,,,,,,,apollo
Umbo Computer Vision,http://www.umbocv.ai,,http://www.linkedin.com/company/umbo-cv,security & investigations,21,San Francisco,California,United States,,,,,,2015,apollo
Abacus.AI,http://www.abacus.ai,,http://www.linkedin.com/company/abacusai,information technology & services,150,San Francisco,California,United States,"1 Sutter St #300, San Francisco, CA 94104",94104,Corporate office,4.4,205,2019,apollo+google_maps
LandingAI,http://www.landing.ai,,http://www.linkedin.com/company/landing-ai,information technology & services,110,Mountain View,California,United States,,,,,,2017,apollo
WeRide,,,http://www.linkedin.com/company/werideai,information technology & services,77,San Jose,California,United States,,,,,,2017,apollo
Adobe Substance 3D,http://www.substance3d.com,,http://www.linkedin.com/company/substance3d,information technology & services,210,San Jose,California,United States,,,,,,2003,apollo
ClearML,http://www.clear.ml,,http://www.linkedin.com/company/clearml,information technology & services,45,Berkeley,California,United States,,,,,,2016,apollo
Rapid Innovation,http://www.rapidinnovation.io,,http://www.linkedin.com/company/rapid-innovation,information technology & services,200,Spokane,Washington,United States,,,,,,2019,apollo
Ailoitte,http://www.ailoitte.com,,http://www.linkedin.com/company/ailoitte-technologies,information technology & services,97,Dover,Delaware,United States,,,,,,2017,apollo
Maitsys,http://www.maitsys.com,,http://www.linkedin.com/company/maitsys,information technology & services,74,Boston,Massachusetts,United States,,,,,,2023,apollo
Bear Robotics,http://www.bearrobotics.ai,,http://www.linkedin.com/company/bear-robotics-inc,information technology & services,250,Redwood City,California,United States,,,,,,2017,apollo
HashRoot,http://www.hashroot.com,,http://www.linkedin.com/company/hashroot,information technology & services,300,Lewes,Delaware,United States,,,,,,2008,apollo
Data Revolution,,,http://www.linkedin.com/company/datarevolution,information technology & services,54,New York,New York,United States,,,,,,,apollo
Matrice AI,http://www.matrice.ai,,http://www.linkedin.com/company/matrice-ai,information technology & services,19,Foster City,California,United States,,,,,,2024,apollo
Posha,http://www.posha.com,,http://www.linkedin.com/company/eatwithposha,consumer electronics,69,San Mateo,California,United States,,,,,,2016,apollo
ODDITY,http://www.oddity.com,,http://www.linkedin.com/company/odditytech,information technology & services,490,New York,New York,United States,,,,,,2018,apollo
Skan AI,http://www.skan.ai,,http://www.linkedin.com/company/skan-ai,information technology & services,220,Menlo Park,California,United States,,,,,,2018,apollo
VDart Digital,http://www.vdartdigital.com,,http://www.linkedin.com/company/vdartdigitalinc,information technology & services,180,Atlanta,Georgia,United States,,,,,,2017,apollo
Applitools,,,http://www.linkedin.com/company/applitools,information technology & services,110,Reston,Virginia,United States,,,,,,2015,apollo
Luma AI,http://www.lumalabs.ai,,http://www.linkedin.com/company/lumalabsai,information technology & services,210,Palo Alto,California,United States,,,,,,2021,apollo
Rang Technologies Inc,http://www.rangtech.com,,http://www.linkedin.com/company/rang-technologies-inc,information technology & services,490,Piscataway,New Jersey,United States,,,,,,2005,apollo
AlphaSignal,http://www.alphasignal.ai,,http://www.linkedin.com/company/alphasignal,research,40,San Francisco,California,United States,,,,,,2020,apollo
RandomTrees,http://www.randomtrees.com,,http://www.linkedin.com/company/randomtrees,information technology & services,310,Houston,Texas,United States,,,,,,2017,apollo
Nearmap Insurance,,,http://www.linkedin.com/company/nearmapinsurance,information technology & services,17,Lehi,Utah,United States,,,,,,2014,apollo
Comp AI,https://trycomp.ai/,(201) 687-9545,,,,San Francisco,California,US,"2261 Market St, San Francisco, CA 94114",94114,Computer security service,5,3,,google_maps
AI bees,https://www.ai-bees.io/,(415) 801-6494,,,,San Francisco,California,US,"50 California St, San Francisco, CA 94111",94111,Association / Organization,5,3,,google_maps
AI Agency -TopG Solutions,https://topgsolutions.com/,(646) 807-9083,,,,New York,New York,US,"109 E 91st St, New York, NY 10128",10128,Consultant,,,,google_maps
Adaptive Intelligence International,https://adaptiveintelligence.online/,(800) 985-7395,,,,New York,New York,US,"244 5th Ave Suite A269 Floor 2, New York, NY 10001",10001,Marketing agency,5,10,,google_maps
Scalex - AI Automation Agency,https://www.scalex.agency/,(229) 789-3583,,,,Queens,New York,US,"171-32 108th Ave 2nd Floor, Queens, NY 11433",11433,Software company,5,1,,google_maps
Flow Digital,https://flow.digital/,(347) 697-4846,,,,Brooklyn,New York,US,"300 Kent Ave Suite 902, Brooklyn, NY 11249",11249,Automation company,4.9,80,,google_maps
Seek AI,http://seek.ai/,(650) 268-4404,,,,New York,New York,US,"145 6th Ave, New York, NY 10013",10013,Office space rental agency,,,,google_maps
EliseAI,https://www.eliseai.com/,,,,,New York,New York,US,"33 E 33rd St, New York, NY 10016",10016,Software company,2.8,43,,google_maps
brayv.ai,https://brayv.ai/,(929) 205-7436,,,,New York,New York,US,"85 Broad St 17th floor, New York, NY 10004",10004,Software company,5,13,,google_maps
White Label AI Agency - Rocket Driver,https://www.rocketdriver.com/,(212) 548-4433,,,,New York,New York,US,"800 3rd Ave, New York, NY 10022",10022,Marketing agency,5,25,,google_maps
New York AI Agency,https://www.aiagencyny.com/,(646) 762-1388,,,,,,,,,Marketing agency,5,2,,google_maps
Cobalt AI,https://www.cobaltai.com/,(650) 781-3623,,,,San Francisco,California,US,"526 2nd St, San Francisco, CA 94107",94107,Business to business service,5,1,,google_maps
Ai-i,https://tripleminds.co/development/ai-development-company/,,,,,Elmhurst,New York,US,"40-07 75th St, Elmhurst, NY 11373",11373,Software company,5,3,,google_maps
Personal AI,https://personal.ai/,(415) 580-0085,,,,San Francisco,California,US,"351 California St #810, San Francisco, CA 94104",94104,Software company,5,7,,google_maps
test.ai,http://www.test.ai/,(415) 842-4992,,,,San Francisco,California,US,"340 Brannan St #100, San Francisco, CA 94107",94107,Software company,5,3,,google_maps
Blaze,http://blaze.ai/,,,,,San Francisco,California,US,"2261 Market St #4354, San Francisco, CA 94114",94114,Software company,5,1,,google_maps
Agentic AI Corporation,http://www.agentic.ai/,,,,,San Francisco,California,US,"527 Howard St FL 4, San Francisco, CA 94105",94105,Software company,,,,google_maps
Ai Automation Agency 360,https://aiautomationagency360.com/,(415) 888-9185,,,,,,,,,Software company,,,,google_maps
AMDAi Solutions,https://amdaisolutions.com/,(415) 449-4958,,,,San Francisco,California,US,"544 Market St, San Francisco, CA 94104",94104,Information services,3.5,2,,google_maps
SF AI Labs,https://sfailabs.com/,(415) 340-0955,,,,San Francisco,California,US,"415 Mission St, San Francisco, CA 94105",94105,Software company,4.7,15,,google_maps
Overview,,(415) 795-9020,,,,San Francisco,California,US,"1700 Montgomery St # 221, San Francisco, CA 94111",94111,Software company,5,2,,google_maps
"Mya Systems, Inc.",https://mya.com/,(877) 679-0952,,,,San Francisco,CA,US,"351 California St, Mezzanine Level, San Francisco, CA 94104",94104,Corporate office,,,,google_maps
Obviously AI,https://www.obviously.ai/,(413) 461-0309,,,,San Francisco,California,US,"535 Mission St 14th floor, San Francisco, CA 94105",94105,Software company,1,1,,google_maps
Hayden AI Technologies,http://www.hayden.ai/,(510) 508-9953,,,,San Francisco,California,US,"460 Bryant St, San Francisco, CA 94107",94107,Software company,4.4,15,,google_maps
Automation Hero,https://automationhero.ai/,,,,,San Francisco,California,US,"564 Market St #314, San Francisco, CA 94104",94104,Software company,,,,google_maps
Spiral Scout – AI Implementation & Workflow Automation,https://spiralscout.com/?utm=gmb,(415) 903-0235,,,,San Francisco,California,US,"460 31st Ave, San Francisco, CA 94121",94121,Software company,4.7,12,,google_maps
"AI, IoT Consulting & Offshore Software Development Company in the USA",https://www.fusioninformatics.com/,,,,,San Francisco,California,US,"75 Broadway #202, San Francisco, CA 94111",94111,Software company,5,6,,google_maps
Automat | AI Operations Automations,http://runautomat.com/,(650) 549-5779,,,,San Francisco,California,US,"1550 Bryant St, San Francisco, CA 94103",94103,Automation company,5,1,,google_maps
WE THINK AI - AI led Product and Platform Engineering Company,https://www.wethinkapp.com/,(408) 693-2166,,,,San Francisco,California,US,"95 3rd St 2nd Floor, San Francisco, CA 94103",94103,Software company,5,3,,google_maps
Apple Lincoln Park,https://www.apple.com/retail/lincolnpark?cid=aos-us-seo-maps,(312) 777-4200,,,,Chicago,Illinois,US,"801 W North Ave, Chicago, IL 60642",60642,Electronics store,3.8,2672,,google_maps
AI Automation.net,,,,,,Chicago,Illinois,US,"255 S Franklin St, Chicago, IL 60606",60606,Marketing agency,5,1,,google_maps
AI Automation Agency,https://croth982.github.io/ai-automation-agency/,(773) 420-6354,,,,,,,,,Automation company,,,,google_maps
SMS-iT,https://smsit.ai/,(650) 333-8337,,,,San Francisco,California,US,"1390 Market St #200, San Francisco, CA 94102",94102,Software company,4.4,30,,google_maps
AI Battle and Associates Consulting,,(310) 893-5737,,,,Seattle,Washington,US,"4500 9th Ave NE, Seattle, WA 98105",98105,,,,,google_maps
UFO Marketing,https://www.uforocks.com/,(513) 549-7355,,,,,,,,,Marketing agency,5,26,,google_maps
CyCobra AI,https://cycobra.com/,(773) 234-5301,,,,,,,,,Automation company,5,5,,google_maps
AI Data Innovations - Clover Building,http://www.aidatainnovations.com/,(425) 326-1090,,,,Bellevue,Washington,US,"14450 NE 29th Pl ste 210, Bellevue, WA 98007",98007,Information services,4.4,62,,google_maps
SIERA.AI,https://siera.ai/,(512) 817-0702,,,,Austin,Texas,US,"1601 Rutherford Ln g1, Austin, TX 78754",78754,Automation company,3.3,7,,google_maps
KPMG Plaza,http://kpmg.com/,(214) 840-2000,,,,Dallas,Texas,US,"2323 Ross Ave Suite 1400, Dallas, TX 75201",75201,Accountant,3.7,32,,google_maps
Gryphon AI,https://gryphon.ai/?utm_campaign=gmb,(855) 580-2875,,,,Boston,Massachusetts,US,"711 Atlantic Ave Suite #124, Boston, MA 02111",02111,Software company,4.7,26,,google_maps
Gradient AI Corp,https://www.gradientai.com/,(888) 958-5846,,,,Boston,Massachusetts,US,"1 Marina Park Drive Suite 305, Boston, MA 02210",02210,Software company,4.2,5,,google_maps
"AI Engineers, Inc (MA Branch Office)",http://www.aiengineers.com/,(617) 451-2828,,,,Boston,Massachusetts,US,"529 Main St, Boston, MA 02129",02129,Engineering consultant,5,2,,google_maps
SEI-Boston,https://www.sei.com/,(617) 938-3866,,,,Boston,Massachusetts,US,"211 Congress St Suite 510, Boston, MA 02110",02110,Consultant,,,,google_maps
SmallBox,http://www.smallbox.com/,(317) 254-0932,,,,Indianapolis,Indiana,US,"6426 N College Ave, Indianapolis, IN 46220",46220,Design agency,4.5,2,,google_maps
West Monroe,https://www.westmonroe.com/offices/chicago,(312) 602-4000,,,,Chicago,Illinois,US,"311 W Monroe St 14th Floor, Chicago, IL 60606",60606,Business management consultant,4.6,47,,google_maps
Northern Light,http://www.northernlight.com/,(617) 674-2074,,,,Boston,Massachusetts,US,"24 Cambridge St Suite 7, Boston, MA 02129",02129,Business management consultant,5,1,,google_maps
Slalom Consulting,https://www.slalom.com/,(312) 329-0401,,,,Chicago,Illinois,US,"200 E Randolph St #3700, Chicago, IL 60601",60601,Business management consultant,4.5,34,,google_maps
Business AI Consulting LLC,https://businessaiconsulting.com/,(248) 579-3554,,,,,,,,,Business management consultant,,,,google_maps
Omadli Group,https://omadligroup.com/,(617) 762-5230,,,,Boston,Massachusetts,US,"1 Washington Mall #1417, Boston, MA 02108",02108,Business management consultant,5,30,,google_maps
Responsive Advisors,https://responsiveadvisors.com/,(877) 594-6365,,,,Chicago,Illinois,US,"625 W Adams St, Chicago, IL 60661",60661,Business management consultant,5,84,,google_maps
Northwest AI Consulting,https://nwai.co/,(503) 298-4673,,,,,,,,,Consultant,5,6,,google_maps
IntuitiveX | AI-First Healthcare Innovation Incubator & Consultancy,,,,,,Seattle,Washington,US,"1730 Minor Ave Suite 1050, Seattle, WA 98101",98101,Consultant,5,1,,google_maps
San Francisco Business Times,https://www.bizjournals.com/sanfrancisco/,(415) 989-2522,,,,San Francisco,California,US,"275 Battery St # 250, San Francisco, CA 94111",94111,Newspaper publisher,5,3,,google_maps
Intelligent Automation Consulting LLC,http://www.iaconsults.com/,(206) 919-5853,,,,Seattle,Washington,US,"699 John St UNIT 418, Seattle, WA 98109",98109,Consultant,,,,google_maps
Acerca.ai,https://www.acerca.ai/,,,,,Seattle,Washington,US,"450 Alaskan Way S Suite 200, Seattle, WA 98104",98104,Software company,,,,google_maps
Mobcoder | Top AI Development Company in Seattle,https://mobcoder.com/,(206) 295-9310,,,,Seattle,Washington,US,"11245 35th Ave S SW, Seattle, WA 98146",98146,Software company,4.9,11,,google_maps
Bee Partners,https://www.beepartners.vc/,,,,,San Francisco,California,US,"50 Osgood Pl, San Francisco, CA 94133",94133,Venture capital company,,,,google_maps
"Blink UX - AI Strategy, UX Research, Product Design",https://blinkux.com/,(206) 447-9551,,,,Seattle,Washington,US,"1011 Western Ave Suite 600, Seattle, WA 98104",98104,Design agency,4.5,30,,google_maps
"MindSource, Inc.",http://www.mindsource.com/,(650) 314-6400,,,,Mountain View,California,US,"555 Clyde Ave # 100, Mountain View, CA 94043",94043,Software company,2.9,11,,google_maps
"Apptronik, Inc.",http://www.apptronik.com/,,,,,Austin,Texas,US,"11701 Stonehollow Dr Suite 100, Austin, TX 78758",78758,Automation company,4.7,19,,google_maps
"CodeAutomation.AI LLC | Custom Software, Mobile App and Web Development Company in Chicago, USA",https://codeautomation.ai/,(815) 614-8480,,,,Naperville,Illinois,US,"Office 254, 1755 Park St suite#200, Naperville, IL 60563",60563,Software company,5,15,,google_maps
