ID,Company_Name,Industry_Vertical,Sub_Category,City,State,Estimated_Employees,Estimated_Revenue_Range,AI_Automation_Use_Case,Estimated_Deal_Size,Decision_Maker_Title,Website,Priority_Score,Notes
254,TITLE Boxing Club,Fitness / Gym Franchises,Boxing Fitness,Kansas City,MO,1500,$25M-$50M,Lead nurturing AI,$5K-$15K,Director of Marketing,www.titleboxingclub.com,3,150+ locations
255,Row House,Fitness / Gym Franchises,Boutique Fitness,Irvine,CA,1500,$25M-$50M,Member retention AI,$5K-$15K,VP of Operations,www.therowhouse.com,3,Xponential brand; rowing focus
256,Barrys,Fitness / Gym Franchises,Boutique Fitness,Los Angeles,CA,2000,$100M-$200M,Scheduling automation AI,$10K-$20K,CTO,www.barrys.com,3,80+ studios
257,SoulCycle,Fitness / Gym Franchises,Cycling,New York,NY,2000,$100M-$200M,Member engagement AI,$10K-$20K,VP of Technology,www.soul-cycle.com,3,Premium cycling studios
258,Equinox,Fitness / Gym Franchises,Premium Fitness,New York,NY,10000,$1B+,Personalization AI,$20K-$40K,Chief Digital Officer,www.equinox.com,5,Premium fitness brand; 100+ clubs
259,Life Time Fitness,Fitness / Gym Franchises,Premium Fitness,Chanhassen,MN,30000,$1B+,Member engagement AI,$25K-$50K,Chief Technology Officer,www.lifetime.life,5,170+ destinations; NYSE listed
260,LA Fitness,Fitness / Gym Franchises,Full-Service Gym,Irvine,CA,10000,$1B+,Member retention AI,$20K-$35K,VP of Technology,www.lafitness.com,4,700+ clubs
261,24 Hour Fitness,Fitness / Gym Franchises,Full-Service Gym,San Ramon,CA,8000,$500M-$1B,Scheduling automation AI,$15K-$30K,CTO,www.24hourfitness.com,4,300+ clubs
262,YMCA of Greater New York,Fitness / Gym Franchises,Community Fitness,New York,NY,5000,$200M-$500M,Member engagement AI,$15K-$25K,CIO,www.ymcanyc.org,4,Largest US YMCA association
263,UFC Gym,Fitness / Gym Franchises,MMA Fitness,Irvine,CA,3000,$100M-$200M,Lead nurturing AI,$10K-$20K,VP of Technology,www.ufcgym.com,3,150+ locations
264,Snap Fitness,Fitness / Gym Franchises,24-Hour Gym,Chanhassen,MN,5000,$100M-$200M,Member retention AI,$8K-$20K,Director of Technology,www.snapfitness.com,3,1000+ locations
265,Blink Fitness,Fitness / Gym Franchises,Value Gym,New York,NY,3000,$100M-$200M,Scheduling AI,$8K-$20K,CTO,www.blinkfitness.com,3,100+ locations
266,EOS Fitness,Fitness / Gym Franchises,Full-Service Gym,Phoenix,AZ,2000,$50M-$100M,Lead qualification AI,$8K-$15K,VP of Operations,www.eosfitness.com,3,Growing Southwest brand
267,Xponential Fitness,Fitness / Gym Franchises,Multi-Brand,Irvine,CA,5000,$200M-$500M,Multi-brand analytics AI,$20K-$40K,Chief Technology Officer,www.xponential.com,5,Parent of 10 fitness brands; NYSE
268,CycleBar,Fitness / Gym Franchises,Cycling,Irvine,CA,2000,$50M-$100M,Member engagement AI,$8K-$15K,VP of Technology,www.cyclebar.com,3,Xponential brand; 200+ studios
269,YogaSix,Fitness / Gym Franchises,Yoga,Irvine,CA,2000,$50M-$100M,Scheduling automation,$8K-$15K,Director of Operations,www.yogasix.com,3,Xponential brand; 200+ studios
270,AKT,Fitness / Gym Franchises,Dance Fitness,Irvine,CA,500,$10M-$25M,Lead nurturing AI,$5K-$12K,VP of Operations,www.theakt.com,2,Xponential brand
271,Rumble Boxing,Fitness / Gym Franchises,Boxing Fitness,New York,NY,1000,$25M-$50M,Member retention AI,$8K-$15K,Director of Technology,www.rumbleboxinggym.com,3,Xponential brand
272,BFT (Body Fit Training),Fitness / Gym Franchises,Functional Training,Irvine,CA,1500,$25M-$50M,Scheduling AI,$5K-$15K,VP of Technology,www.bodyfittraining.com,3,Xponential brand; Australian origin
273,Solidcore,Fitness / Gym Franchises,Pilates/Strength,Washington,DC,1500,$50M-$100M,Member engagement AI,$8K-$20K,CTO,www.solidcore.co,3,100+ studios
274,CorePower Yoga,Fitness / Gym Franchises,Yoga,Denver,CO,3000,$100M-$200M,Scheduling automation AI,$10K-$20K,VP of Technology,www.corepoweryoga.com,3,200+ studios
275,Club4 Fitness,Fitness / Gym Franchises,Value Gym,Flowood,MS,1000,$25M-$50M,Lead qualification AI,$5K-$15K,Director of Operations,www.club4fitness.com,2,Southeast value gym
276,Workout Anytime,Fitness / Gym Franchises,24-Hour Gym,Alpharetta,GA,1500,$25M-$50M,Member retention AI,$5K-$15K,VP of Technology,www.workoutanytime.com,3,200+ locations
277,Retro Fitness,Fitness / Gym Franchises,Value Gym,Colts Neck,NJ,2000,$50M-$100M,Lead nurturing AI,$8K-$15K,Director of Technology,www.retrofitness.com,3,140+ locations
278,Basecamp Fitness,Fitness / Gym Franchises,HIIT,Irvine,CA,500,$10M-$25M,Scheduling automation,$5K-$12K,Director of Operations,www.basecampfitness.com,2,Xponential brand
279,MADabolic,Fitness / Gym Franchises,Strength Training,Charlotte,NC,500,$10M-$25M,Member engagement AI,$5K-$12K,Director of Operations,www.madabolic.com,2,50+ studios
280,CrossFit Mayhem,Fitness / Gym Franchises,CrossFit,Cookeville,TN,50,$5M-$10M,Member scheduling AI,$5K-$10K,Owner,www.crossfitmayhem.com,2,Top CrossFit affiliate; Rich Froning
281,Lockton Companies,Insurance Agencies,Private Brokerage,Kansas City,MO,10500,$1B+,Claims processing AI,$25K-$50K,Chief Technology Officer,www.lockton.com,5,Largest privately held brokerage
282,USI Insurance Services,Insurance Agencies,Brokerage,Valhalla,NY,10500,$1B+,Lead scoring AI,$25K-$50K,CTO,www.usi.com,5,10500 professionals; 200 offices
283,Marsh McLennan Agency,Insurance Agencies,Brokerage,New York,NY,15000,$1B+,Underwriting automation,$30K-$50K,Chief Digital Officer,www.marshmma.com,5,Part of Marsh McLennan
284,Hub International,Insurance Agencies,Brokerage,Chicago,IL,18000,$1B+,Claims processing AI,$25K-$50K,VP of Technology,www.hubinternational.com,5,500+ offices
285,Acrisure,Insurance Agencies,Brokerage,Grand Rapids,MI,16000,$1B+,AI-powered quoting,$25K-$50K,CTO,www.acrisure.com,5,Fast growing; PE-backed
286,Gallagher,Insurance Agencies,Global Brokerage,Rolling Meadows,IL,52000,$5B+,Underwriting AI,$30K-$50K,Chief Innovation Officer,www.ajg.com,5,Acquired AssuredPartners
287,Brown & Brown,Insurance Agencies,Brokerage,Daytona Beach,FL,16000,$1B+,Claims automation AI,$25K-$50K,Chief Technology Officer,www.bbinsurance.com,5,NYSE listed; acquisition-driven
288,AssuredPartners,Insurance Agencies,Brokerage,Lake Mary,FL,11000,$1B+,Lead scoring AI,$20K-$40K,CTO,www.assuredpartners.com,4,Acquired by Gallagher
289,NFP,Insurance Agencies,Brokerage,New York,NY,7000,$1B+,Client onboarding AI,$20K-$35K,VP of Innovation,www.nfp.com,4,Part of Aon
290,Risk Strategies,Insurance Agencies,Specialty Brokerage,Boston,MA,5000,$500M-$1B,Underwriting automation,$15K-$30K,Director of Technology,www.risk-strategies.com,4,Top 20 brokerage
291,Alliant Insurance Services,Insurance Agencies,Specialty Brokerage,Newport Beach,CA,3500,$500M-$1B,Claims processing AI,$15K-$30K,CTO,www.alliant.com,4,Employee-owned
292,IMA Financial Group,Insurance Agencies,Brokerage,Denver,CO,2000,$200M-$500M,Lead scoring AI,$10K-$25K,VP of Technology,www.imacorp.com,3,Employee-owned
293,EPIC Insurance Brokers,Insurance Agencies,Brokerage,San Francisco,CA,2800,$200M-$500M,Client engagement AI,$10K-$25K,Director of Technology,www.epicbrokers.com,3,Growth-focused
294,Higginbotham,Insurance Agencies,Regional Brokerage,Fort Worth,TX,2500,$200M-$500M,Claims automation,$10K-$25K,VP of IT,www.higginbotham.com,3,Largest independent in TX
295,Holmes Murphy,Insurance Agencies,Regional Brokerage,Waukee,IA,1800,$100M-$200M,Underwriting AI,$10K-$20K,Director of Innovation,www.holmesmurphy.com,3,Employee-owned; Midwest
296,Hylant,Insurance Agencies,Regional Brokerage,Toledo,OH,1000,$100M-$200M,Claims processing AI,$8K-$20K,VP of Technology,www.hylant.com,3,Top 30 US brokerage
297,Woodruff Sawyer,Insurance Agencies,Regional Brokerage,San Francisco,CA,500,$100M-$200M,Lead qualification AI,$8K-$20K,Director of IT,www.wsandco.com,3,West Coast focused
298,CCIG,Insurance Agencies,Regional Agency,Greenwood Village,CO,200,$25M-$50M,Client onboarding AI,$5K-$15K,VP of Operations,www.thinkccig.com,3,Colorado leader; top 100
299,Atlas Insurance Brokers,Insurance Agencies,Regional Brokerage,Overland Park,KS,300,$50M-$100M,Lead scoring AI,$8K-$15K,Director of Technology,www.aibme.com,3,Top 100 P&C agency; 8 yrs running
300,Rate Insurance,Insurance Agencies,Personal Lines,Chicago,IL,500,$50M-$100M,AI-powered quoting,$8K-$20K,CTO,www.rate.com/insurance,3,Top 100; fastest growing
301,Patriot Growth Insurance,Insurance Agencies,Brokerage,Fort Lauderdale,FL,3000,$200M-$500M,Claims automation AI,$10K-$25K,VP of Technology,www.patriotgis.com,4,Fast-growing platform
302,Relation Insurance Services,Insurance Agencies,Brokerage,Scottsdale,AZ,2000,$100M-$200M,Client engagement AI,$10K-$20K,Director of IT,www.relationinsurance.com,3,PE-backed growth
303,Insurity,Insurance Agencies,InsurTech,Hartford,CT,800,$100M-$200M,Underwriting automation AI,$15K-$30K,Chief Technology Officer,www.insurity.com,4,Cloud insurance platform
304,Lemonade,Insurance Agencies,InsurTech,New York,NY,1500,$200M-$500M,AI claims processing,$15K-$30K,CTO,www.lemonade.com,4,AI-first insurance company
305,Hippo Insurance,Insurance Agencies,InsurTech,Austin,TX,800,$100M-$200M,Home insurance AI,$10K-$25K,Chief Technology Officer,www.hippo.com,4,Smart home insurance
306,Kin Insurance,Insurance Agencies,InsurTech,Chicago,IL,500,$100M-$200M,Underwriting AI,$10K-$20K,CTO,www.kin.com,3,Direct-to-consumer home insurance
307,Goosehead Insurance,Insurance Agencies,Franchise Agency,Westlake,TX,2500,$200M-$500M,Lead scoring AI,$10K-$25K,VP of Technology,www.gooseheadinsurance.com,4,NYSE listed; franchise model
308,Brightway Insurance,Insurance Agencies,Franchise Agency,Jacksonville,FL,1500,$100M-$200M,Quote comparison AI,$8K-$20K,Director of Technology,www.brightway.com,3,300+ franchise locations
309,The Hartford,Insurance Agencies,Carrier/Agency,Hartford,CT,19000,$10B+,Claims AI automation,$30K-$50K,Chief Digital Officer,www.thehartford.com,5,Fortune 500 insurer
310,Erie Insurance,Insurance Agencies,Regional Carrier,Erie,PA,6000,$5B+,Claims processing AI,$20K-$40K,VP of Innovation,www.erieinsurance.com,4,Top regional insurer
311,Selective Insurance,Insurance Agencies,Specialty Carrier,Branchville,NJ,2500,$1B+,Underwriting AI,$15K-$30K,CTO,www.selective.com,4,Commercial lines focus
312,Westfield Insurance,Insurance Agencies,Regional Carrier,Westfield Center,OH,2500,$1B+,Claims automation,$15K-$25K,VP of Technology,www.westfieldinsurance.com,3,Midwest focus
313,Hanover Insurance Group,Insurance Agencies,Regional Carrier,Worcester,MA,4500,$5B+,Underwriting AI,$20K-$35K,Chief Digital Officer,www.hanover.com,4,Top 30 P&C insurer
314,EMC Insurance,Insurance Agencies,Regional Carrier,Des Moines,IA,2500,$1B+,Claims processing AI,$15K-$25K,Director of IT,www.emcins.com,3,Midwest commercial lines
315,Donegal Insurance Group,Insurance Agencies,Regional Carrier,Marietta,PA,1500,$500M-$1B,Underwriting automation,$10K-$20K,VP of Technology,www.donegalgroup.com,3,Mid-Atlantic focus
316,Cincinnati Financial,Insurance Agencies,Regional Carrier,Fairfield,OH,5000,$5B+,Claims AI,$20K-$35K,CTO,www.cinfin.com,4,Fortune 500; 35 years dividend growth
317,Auto-Owners Insurance,Insurance Agencies,Regional Carrier,Lansing,MI,5500,$5B+,Claims automation AI,$20K-$35K,VP of Innovation,www.auto-owners.com,4,26 states; top 20 P&C
318,State Auto Insurance,Insurance Agencies,Regional Carrier,Columbus,OH,1800,$1B+,Lead scoring AI,$10K-$25K,Director of Technology,www.stateauto.com,3,Now part of Liberty Mutual
319,AMERITAS,Insurance Agencies,Life/Benefits,Lincoln,NE,2500,$1B+,Benefits enrollment AI,$15K-$25K,VP of Technology,www.ameritas.com,3,Dental/vision/life benefits
320,Main Street America Insurance,Insurance Agencies,Regional Carrier,Jacksonville,FL,800,$500M-$1B,Underwriting AI,$10K-$20K,Director of IT,www.msagroup.com,3,Small business focus
321,Robert Half,Staffing / Recruiting Firms,Professional Staffing,Menlo Park,CA,14000,$5B+,Resume screening AI,$25K-$50K,Chief Technology Officer,www.roberthalf.com,5,Worlds largest specialized staffing
322,Randstad USA,Staffing / Recruiting Firms,General Staffing,Atlanta,GA,38000,$5B+,Candidate matching AI,$25K-$50K,VP of Innovation,www.randstadusa.com,5,AI-driven matching tools
323,Insight Global,Staffing / Recruiting Firms,IT/Professional,Atlanta,GA,9000,$1B+,Resume screening AI,$20K-$40K,CTO,www.insightglobal.com,5,Fast-growing; high-volume recruiting
324,Kforce,Staffing / Recruiting Firms,IT/Finance Staffing,Tampa,FL,4000,$1B+,Candidate matching AI,$20K-$35K,Chief Technology Officer,www.kforce.com,4,50+ US offices; NYSE listed
325,TrueBlue,Staffing / Recruiting Firms,Industrial Staffing,Tacoma,WA,5000,$1B+,Worker matching AI,$15K-$30K,CTO,www.trueblue.com,4,NYSE listed; PeopleReady brand
326,Aerotek,Staffing / Recruiting Firms,Engineering/Industrial,Hanover,MD,8000,$5B+,Interview scheduling AI,$20K-$40K,VP of Technology,www.aerotek.com,5,Allegis Group subsidiary
327,TEKsystems,Staffing / Recruiting Firms,IT Staffing,Hanover,MD,5000,$5B+,Resume screening AI,$20K-$40K,Chief Digital Officer,www.teksystems.com,5,Allegis Group subsidiary
328,Heidrick & Struggles,Staffing / Recruiting Firms,Executive Search,Chicago,IL,1700,$500M-$1B,Candidate assessment AI,$15K-$30K,CTO,www.heidrick.com,4,NYSE listed; executive search
329,Korn Ferry,Staffing / Recruiting Firms,Executive Search,Los Angeles,CA,10000,$1B+,Leadership assessment AI,$25K-$50K,Chief Technology Officer,www.kornferry.com,5,Global organizational consulting
330,LaSalle Network,Staffing / Recruiting Firms,IT/Professional,Chicago,IL,500,$100M-$200M,Candidate matching AI,$10K-$20K,VP of Technology,www.lasallenetwork.com,3,Midwest IT staffing leader
331,TemPositions Group,Staffing / Recruiting Firms,Multi-Sector,New York,NY,600,$100M-$200M,Resume screening AI,$10K-$20K,Director of IT,www.tempositions.com,3,Top 1% staffing firm; Best of Staffing
332,Frontline Source Group,Staffing / Recruiting Firms,IT/Finance,Dallas,TX,300,$50M-$100M,Interview scheduling AI,$8K-$15K,Director of Operations,www.frontlinesourcegroup.com,3,Quick-turnaround hiring
333,Adecco USA,Staffing / Recruiting Firms,General Staffing,Jacksonville,FL,30000,$5B+,Worker matching AI,$25K-$50K,VP of Innovation,www.adeccousa.com,5,Global staffing leader
334,Express Employment,Staffing / Recruiting Firms,General Staffing,Oklahoma City,OK,5000,$1B+,Candidate screening AI,$15K-$30K,CTO,www.expresspros.com,4,900+ franchise locations
335,Spherion Staffing,Staffing / Recruiting Firms,Light Industrial,Atlanta,GA,2000,$200M-$500M,Worker matching AI,$10K-$20K,VP of Technology,www.spherion.com,3,175+ offices
336,AppleOne,Staffing / Recruiting Firms,Administrative,Glendale,CA,1500,$100M-$200M,Resume screening AI,$8K-$20K,Director of IT,www.appleone.com,3,50+ offices
337,Beacon Hill Staffing,Staffing / Recruiting Firms,Professional,Boston,MA,1000,$200M-$500M,Candidate matching AI,$10K-$20K,VP of Technology,www.beaconhillstaffing.com,3,Multiple business lines
338,Judge Group,Staffing / Recruiting Firms,IT/Engineering,Wayne,PA,2000,$200M-$500M,Interview scheduling AI,$10K-$25K,Chief Technology Officer,www.judge.com,3,Learning + consulting too
339,Vaco,Staffing / Recruiting Firms,Professional Staffing,Nashville,TN,1500,$200M-$500M,Candidate assessment AI,$10K-$25K,CTO,www.vaco.com,3,Finance/tech staffing leader
340,Motion Recruitment,Staffing / Recruiting Firms,Tech Staffing,New York,NY,500,$100M-$200M,Resume screening AI,$8K-$20K,VP of Technology,www.motionrecruitment.com,3,Tech talent specialists
341,Mondo (Insight Global),Staffing / Recruiting Firms,Digital/Creative,New York,NY,300,$50M-$100M,Candidate matching AI,$8K-$15K,Director of Technology,www.mondo.com,3,Digital staffing niche
342,Addison Group,Staffing / Recruiting Firms,Professional,Chicago,IL,800,$100M-$200M,Interview scheduling AI,$8K-$20K,VP of Operations,www.addisongroup.com,3,Multi-sector staffing
343,Brilliant Staffing,Staffing / Recruiting Firms,Finance/Accounting,Chicago,IL,200,$25M-$50M,Resume screening AI,$5K-$15K,Director of Operations,www.brilliantstaffing.com,2,Finance niche staffing
344,Mitchell Martin,Staffing / Recruiting Firms,IT Staffing,New York,NY,300,$50M-$100M,Candidate matching AI,$8K-$15K,VP of Technology,www.mitchellmartin.com,3,IT consulting + staffing
345,MatcHR (Match Group),Staffing / Recruiting Firms,Tech Recruiting,Los Angeles,CA,200,$25M-$50M,AI-powered matching,$5K-$15K,CTO,www.matchrstaffing.com,2,AI-forward staffing
346,Hays US,Staffing / Recruiting Firms,Professional Staffing,Tampa,FL,1000,$200M-$500M,Candidate assessment AI,$10K-$20K,Chief Technology Officer,www.hays.com,3,Part of global Hays plc
347,PrideStaff,Staffing / Recruiting Firms,Light Industrial,Fresno,CA,2000,$200M-$500M,Worker scheduling AI,$8K-$20K,VP of Technology,www.pridestaff.com,3,85+ offices; franchise model
348,Kelly Services,Staffing / Recruiting Firms,General Staffing,Troy,MI,4000,$1B+,Candidate matching AI,$15K-$30K,Chief Technology Officer,www.kellyservices.com,4,75+ year history; global
349,ManpowerGroup US,Staffing / Recruiting Firms,General Staffing,Milwaukee,WI,25000,$5B+,Workforce analytics AI,$25K-$50K,VP of Innovation,www.manpowergroup.com,5,Global workforce solutions
350,Cielo,Staffing / Recruiting Firms,RPO,Milwaukee,WI,3000,$200M-$500M,Interview scheduling AI,$15K-$30K,CTO,www.cielotalent.com,4,Global RPO leader
351,Alexander Mann Solutions,Staffing / Recruiting Firms,RPO,New York,NY,4000,$500M-$1B,Candidate assessment AI,$15K-$30K,Chief Technology Officer,www.alexandermannsolutions.com,4,Now AMS; talent solutions
352,Yoh,Staffing / Recruiting Firms,IT/Engineering,Philadelphia,PA,2500,$500M-$1B,Resume screening AI,$10K-$25K,VP of Technology,www.yoh.com,3,Day & Zimmermann subsidiary
353,Aquent,Staffing / Recruiting Firms,Creative Staffing,Boston,MA,1000,$200M-$500M,Candidate matching AI,$10K-$20K,CTO,www.aquent.com,3,Creative/marketing staffing
354,Creative Circle,Staffing / Recruiting Firms,Creative Staffing,Los Angeles,CA,500,$100M-$200M,Candidate assessment AI,$8K-$15K,Director of Technology,www.creativecircle.com,3,Marketing/creative talent
355,Procom,Staffing / Recruiting Firms,IT Staffing,Boston,MA,500,$100M-$200M,Resume screening AI,$8K-$15K,VP of Technology,www.procom.ca,3,IT consulting + staffing
356,Nelson Staffing,Staffing / Recruiting Firms,Administrative,San Leandro,CA,300,$25M-$50M,Interview scheduling AI,$5K-$15K,Director of Operations,www.nelsonstaffing.com,2,Bay Area staffing
357,On Assignment (Apex Group),Staffing / Recruiting Firms,Professional,Calabasas,CA,6000,$1B+,Candidate matching AI,$15K-$30K,Chief Technology Officer,www.apexgroup.com,4,Now Apex Group; diversified
358,Mastech Holdings,Staffing / Recruiting Firms,IT Staffing,Pittsburgh,PA,2000,$200M-$500M,AI candidate matching,$10K-$25K,CTO,www.mastech.com,3,NYSE listed; digital transformation
359,Volt Information Sciences,Staffing / Recruiting Firms,General Staffing,Orange,CT,1500,$200M-$500M,Workforce AI analytics,$10K-$20K,VP of Technology,www.volt.com,3,Multi-sector staffing
360,Zobility (RGBSI),Staffing / Recruiting Firms,Engineering Staffing,Troy,MI,1000,$100M-$200M,Resume screening AI,$8K-$20K,Director of IT,www.zobility.com,3,Engineering/auto focus
361,WebFX,Marketing / Digital Agencies,Full-Service Digital,Harrisburg,PA,500,$100M-$200M,Content generation AI,$15K-$30K,Chief Technology Officer,www.webfx.com,4,500+ employees; $10B+ driven for clients
362,Disruptive Advertising,Marketing / Digital Agencies,PPC/CRO,Pleasant Grove,UT,200,$25M-$50M,Campaign optimization AI,$10K-$20K,VP of Operations,www.disruptiveadvertising.com,3,Google Premier Partner
363,Ignite Visibility,Marketing / Digital Agencies,SEO/Digital,San Diego,CA,100,$25M-$50M,SEO automation AI,$8K-$20K,Director of Technology,www.ignitevisibility.com,3,Award-winning SEO agency
364,NP Digital,Marketing / Digital Agencies,Full-Service,San Diego,CA,500,$50M-$100M,Content generation AI,$10K-$25K,CTO,www.npdigital.com,4,Neil Patel's agency; enterprise focus
365,SmartSites,Marketing / Digital Agencies,Web/PPC,Paramus,NJ,200,$25M-$50M,Reporting automation AI,$8K-$20K,CTO,www.smartsites.com,3,SMB focused; top rated
366,KlientBoost,Marketing / Digital Agencies,PPC/CRO,Costa Mesa,CA,100,$10M-$25M,Campaign optimization AI,$5K-$15K,Director of Operations,www.klientboost.com,3,SaaS/eComm focus
367,Wieden+Kennedy,Marketing / Digital Agencies,Creative/Brand,Portland,OR,1500,$500M-$1B,Creative AI tools,$30K-$50K,Chief Innovation Officer,www.wk.com,5,Nike Just Do It agency
368,Droga5,Marketing / Digital Agencies,Creative/Brand,New York,NY,500,$200M-$500M,Content generation AI,$25K-$50K,CTO,www.droga5.com,5,Award-winning creative agency
369,BBDO Worldwide,Marketing / Digital Agencies,Full-Service,New York,NY,10000,$1B+,Campaign analytics AI,$30K-$50K,Chief Digital Officer,www.bbdo.com,5,Global advertising network
370,R/GA,Marketing / Digital Agencies,Digital/Innovation,New York,NY,2000,$200M-$500M,Content personalization AI,$20K-$40K,CTO,www.rga.com,4,Innovation-focused agency
371,VaynerMedia,Marketing / Digital Agencies,Social Media,New York,NY,1000,$200M-$500M,Social content AI,$15K-$30K,Chief Technology Officer,www.vaynermedia.com,4,Gary Vaynerchuk's agency
372,Wpromote,Marketing / Digital Agencies,Performance Marketing,El Segundo,CA,500,$100M-$200M,Campaign optimization AI,$10K-$25K,VP of Technology,www.wpromote.com,4,Full-funnel performance
373,Tinuiti,Marketing / Digital Agencies,Performance Marketing,New York,NY,1000,$200M-$500M,Attribution AI,$15K-$30K,CTO,www.tinuiti.com,4,Largest independent performance
374,Power Digital Marketing,Marketing / Digital Agencies,Growth Marketing,San Diego,CA,700,$100M-$200M,Reporting automation AI,$10K-$25K,Chief Technology Officer,www.powerdigitalmarketing.com,4,nova platform; AI integration
375,Thrive Internet Marketing,Marketing / Digital Agencies,SEO/PPC,Arlington,TX,200,$25M-$50K,Content generation AI,$8K-$15K,Director of Operations,www.thriveagency.com,3,Full-service digital agency
376,Directive Consulting,Marketing / Digital Agencies,B2B SaaS Marketing,Irvine,CA,200,$25M-$50M,Campaign analytics AI,$8K-$20K,CTO,www.directive.com,3,B2B SaaS focused
377,Walker Sands,Marketing / Digital Agencies,B2B/Tech PR,Chicago,IL,200,$25M-$50M,Content generation AI,$8K-$20K,VP of Technology,www.walkersands.com,3,B2B tech communications
378,Single Grain,Marketing / Digital Agencies,Growth Marketing,Los Angeles,CA,100,$10M-$25M,SEO automation AI,$5K-$15K,Director of Operations,www.singlegrain.com,3,Eric Siu's agency
379,Major Tom,Marketing / Digital Agencies,Full-Service,New York,NY,200,$25M-$50M,Content personalization AI,$8K-$20K,CTO,www.majortom.com,3,North American presence
380,Refine Labs,Marketing / Digital Agencies,B2B Demand Gen,Boston,MA,100,$10M-$25M,Campaign optimization AI,$8K-$20K,Director of Technology,www.refinelabs.com,3,B2B demand generation pioneer
381,Huge (IPG),Marketing / Digital Agencies,Digital Experience,Brooklyn,NY,1500,$200M-$500M,UX personalization AI,$20K-$40K,Chief Technology Officer,www.hugeinc.com,4,IPG subsidiary; design focus
382,Razorfish,Marketing / Digital Agencies,Digital,New York,NY,2000,$200M-$500M,Customer journey AI,$20K-$40K,CTO,www.razorfish.com,4,Publicis Groupe subsidiary
383,Digitas,Marketing / Digital Agencies,Data-Driven Marketing,Boston,MA,3000,$500M-$1B,Predictive analytics AI,$25K-$50K,Chief Data Officer,www.digitas.com,5,Publicis Groupe subsidiary
384,MRM,Marketing / Digital Agencies,CRM/Data Marketing,New York,NY,2500,$200M-$500M,Marketing automation AI,$20K-$40K,VP of Technology,www.mrm.com,4,McCann Worldgroup subsidiary
385,Merkle,Marketing / Digital Agencies,Data/CRM,Columbia,MD,14000,$1B+,Customer data AI,$25K-$50K,Chief Technology Officer,www.merkle.com,5,Dentsu subsidiary; data leader
386,VMLY&R,Marketing / Digital Agencies,Creative/Digital,Kansas City,MO,7000,$1B+,Creative automation AI,$25K-$50K,CTO,www.vmlyr.com,5,WPP subsidiary
387,Hawke Media,Marketing / Digital Agencies,Outsourced CMO,Los Angeles,CA,200,$25M-$50M,Content generation AI,$8K-$20K,Director of Technology,www.hawkemedia.com,3,Outsourced marketing leader
388,360i,Marketing / Digital Agencies,Digital Innovation,New York,NY,500,$100M-$200M,Social listening AI,$10K-$25K,CTO,www.360i.com,4,Dentsu subsidiary
389,iProspect,Marketing / Digital Agencies,Performance,Boston,MA,8000,$500M-$1B,Search optimization AI,$20K-$40K,Chief Technology Officer,www.iprospect.com,4,Dentsu subsidiary; global
390,Seer Interactive,Marketing / Digital Agencies,SEO/Analytics,Philadelphia,PA,200,$25M-$50M,Data analytics AI,$8K-$20K,VP of Technology,www.seerinteractive.com,3,Data-forward SEO agency
391,Barkley,Marketing / Digital Agencies,Creative,Kansas City,MO,300,$50M-$100M,Content generation AI,$8K-$20K,Director of Innovation,www.barkleyus.com,3,Independent creative agency
392,Mekanism,Marketing / Digital Agencies,Creative/Social,San Francisco,CA,200,$25M-$50M,Social content AI,$8K-$20K,CTO,www.mekanism.com,3,Soul & science of marketing
393,Funnel Boost Media,Marketing / Digital Agencies,Local SEO/PPC,San Antonio,TX,50,$5M-$10M,Lead generation AI,$5K-$12K,Director of Operations,www.funnelboostmedia.com,2,Veteran-owned; local focus
394,Blackhawk Agency,Marketing / Digital Agencies,Growth Marketing,Austin,TX,50,$5M-$10M,Campaign optimization AI,$5K-$12K,Director of Technology,www.blackhawkagency.com,2,Growth-oriented; Austin-based
395,Clearscope,Marketing / Digital Agencies,SEO Content,Austin,TX,50,$5M-$10M,Content optimization AI,$5K-$12K,CTO,www.clearscope.io,3,AI SEO content platform
396,Media.Monks,Marketing / Digital Agencies,Digital Production,New York,NY,8000,$1B+,Content automation AI,$25K-$50K,Chief Technology Officer,www.media.monks.com,5,S4Capital subsidiary
397,Jellyfish,Marketing / Digital Agencies,Digital Marketing,Baltimore,MD,2000,$200M-$500M,Training/analytics AI,$10K-$25K,CTO,www.jellyfish.com,4,Google partner; training focus
398,Critical Mass,Marketing / Digital Agencies,Digital Experience,Calgary,AB,1000,$100M-$200M,UX personalization AI,$10K-$25K,VP of Technology,www.criticalmass.com,3,Experience design agency
399,Dept Agency,Marketing / Digital Agencies,Digital,Amsterdam,NL,4000,$500M-$1B,AI-powered marketing,$15K-$30K,Chief Technology Officer,www.deptagency.com,4,Global digital agency; US operations
400,Accenture Song,Marketing / Digital Agencies,Full-Service,New York,NY,40000,$5B+,Marketing AI suite,$40K-$50K,Chief Innovation Officer,www.accenture.com/song,5,Worlds largest digital agency
401,OnPoint Manufacturing,Manufacturing (SMB),Custom/On-Demand,Florence,AL,200,$10M-$25M,Quality control AI,$8K-$20K,VP of Operations,www.onpointmanufacturing.com,3,On-demand production
402,Suuchi Inc,Manufacturing (SMB),Tech-Driven Mfg,Carlstadt,NJ,300,$25M-$50M,Supply chain AI,$10K-$20K,CTO,www.suuchi.com,3,Design-to-delivery tech platform
