ID,Company_Name,Industry_Vertical,Sub_Category,City,State,Estimated_Employees,Estimated_Revenue_Range,AI_Automation_Use_Case,Estimated_Deal_Size,Decision_Maker_Title,Website,Priority_Score,Notes,Contact_Email,Alt_Emails,Contact_Phone,Alt_Phones,Email_Source
191,Choate Construction,Construction / General Contractors,General Contractor,Atlanta,GA,800,$500M-$1B,Estimating automation,$10K-$20K,VP of Operations,www.choateco.com,3,Southeast focused,info@choateco.com,contact@choateco.com,1744229297,17497430134; 16588554446,pattern
192,Harvey-Cleary Builders,Construction / General Contractors,General Contractor,Houston,TX,300,$200M-$500M,Project scheduling AI,$8K-$20K,Director of Operations,www.harvey-cleary.com,3,Texas focused,info@harvey-cleary.com,contact@harvey-cleary.com,,,pattern
193,Alston Construction,Construction / General Contractors,General Contractor,Phoenix,AZ,400,$500M-$1B,Safety compliance AI,$10K-$20K,VP of IT,www.alstonconstruction.com,3,Industrial/distribution focus,info@alstonconstruction.com,contact@alstonconstruction.com,,,pattern
194,The Boldt Company,Construction / General Contractors,General Contractor,Appleton,WI,2500,$1B+,Prefab/modular AI,$15K-$30K,Chief Innovation Officer,www.boldt.com,4,Employee-owned,info@boldt.com,contact@boldt.com,0316410064,920.225.6225,pattern
195,Findorff,Construction / General Contractors,General Contractor,Madison,WI,500,$200M-$500M,Project management AI,$8K-$20K,Director of IT,www.findorff.com,3,Wisconsin focused,info@findorff.com,contact@findorff.com,,,pattern
196,CD Smith Construction,Construction / General Contractors,General Contractor,Fond du Lac,WI,300,$200M-$500M,Estimating AI,$8K-$15K,VP of Operations,www.cdsmith.com,3,Wisconsin focused,hbrenner@cdsmith.com,mkrolczyk@cdsmith.com; jvanhandel@cdsmith.com; dloest@cdsmith.com,8949371917,17419496514; 3074218753,scraped
197,Miron Construction,Construction / General Contractors,General Contractor,Neenah,WI,1500,$500M-$1B,Safety analytics AI,$10K-$25K,Director of Technology,www.miron-construction.com,3,Employee-owned; Wisconsin,info@miron-construction.com,contact@miron-construction.com,10156125962,3791373661; +18669691966,pattern
198,Charles Perry Partners,Construction / General Contractors,General Contractor,Gainesville,FL,200,$100M-$200M,Project management AI,$8K-$15K,VP of Operations,www.charlesperry.com,3,Florida focused,info@charlesperry.com,contact@charlesperry.com,,,pattern
199,Austin Commercial,Construction / General Contractors,General Contractor,Dallas,TX,1000,$500M-$1B,BIM integration AI,$10K-$25K,Director of IT,www.austin-ind.com,3,Part of Austin Industries,info@austin-ind.com,contact@austin-ind.com,717435-8680,2017374667; 1.6166666666,pattern
200,Batson-Cook Company,Construction / General Contractors,General Contractor,West Point,GA,400,$200M-$500M,Estimating automation,$8K-$20K,VP of Operations,www.bfrconstructors.com,3,Southeast focused,info@bfrconstructors.com,contact@bfrconstructors.com,,,pattern
201,OLIPOP,eCommerce / DTC Brands,Beverages,Oakland,CA,200,$200M-$500M,Customer service AI,$10K-$25K,VP of E-Commerce,www.drinkolipop.com,4,Functional soda DTC leader,info@drinkolipop.com,contact@drinkolipop.com,17440207683,1772479135; 2147483645,pattern
202,Death Wish Coffee,eCommerce / DTC Brands,Coffee,Saratoga Springs,NY,50,$25M-$50M,Customer support AI,$8K-$15K,Director of Operations,www.deathwishcoffee.com,3,Worlds strongest coffee brand,info@deathwishcoffee.com,contact@deathwishcoffee.com,1642685806,1625335264; 5825154475,pattern
203,Brooklinen,eCommerce / DTC Brands,Home/Bedding,Brooklyn,NY,200,$100M-$200M,Personalization engine AI,$10K-$25K,CTO,www.brooklinen.com,4,DTC bedding leader,hello@brooklinen.com,,2923255800,18048165408; 9945025441,scraped
204,Warby Parker,eCommerce / DTC Brands,Eyewear,New York,NY,3000,$500M-$1B,Virtual try-on AI,$20K-$40K,Chief Technology Officer,www.warbyparker.com,5,Public DTC brand; retail + online,info@warbyparker.com,contact@warbyparker.com,2634133934,7978071156; 4608933942,pattern
205,Allbirds,eCommerce / DTC Brands,Footwear,San Francisco,CA,800,$100M-$200M,Inventory automation AI,$10K-$25K,VP of Technology,www.allbirds.com,4,Sustainable footwear brand,info@allbirds.com,contact@allbirds.com,1753720776,1719584207; 7572770508,pattern
206,Glossier,eCommerce / DTC Brands,Beauty,New York,NY,500,$100M-$200M,Customer engagement AI,$10K-$25K,CTO,www.glossier.com,4,DTC beauty pioneer,gteam@glossier.com,press@glossier.com; brand@glossier.com,2291610153,1681821732; 1681821719,scraped
207,Dollar Shave Club,eCommerce / DTC Brands,Grooming,Marina del Rey,CA,500,$200M-$500M,Subscription AI,$15K-$25K,VP of Engineering,www.dollarshaveclub.com,4,Subscription grooming leader,info@dollarshaveclub.com,contact@dollarshaveclub.com,5683943838,1713388415; 16634659573,pattern
208,MVMT Watches,eCommerce / DTC Brands,Accessories,Los Angeles,CA,100,$50M-$100M,Customer retention AI,$8K-$20K,Director of E-Commerce,www.mvmt.com,3,Movado subsidiary,info@mvmt.com,contact@mvmt.com,17724529790,913 106.9661; 899 111.2456,pattern
209,Casper,eCommerce / DTC Brands,Mattress,New York,NY,400,$500M-$1B,Customer service AI,$15K-$25K,CTO,www.casper.com,4,DTC mattress pioneer,info@casper.com,contact@casper.com,200.0310135,200.0635208; 18794011070,pattern
210,Away,eCommerce / DTC Brands,Travel/Luggage,New York,NY,600,$200M-$500M,Customer engagement AI,$10K-$25K,VP of Technology,www.awaytravel.com,4,DTC luggage brand,hello@awaytravel.com,,6647418079,1741011796; 1740583733,scraped
211,Bombas,eCommerce / DTC Brands,Apparel/Socks,New York,NY,300,$200M-$500M,Inventory automation,$10K-$20K,Director of Technology,www.bombas.com,4,Social mission; $300M+ revenue,info@bombas.com,contact@bombas.com,1754002334,1503876604; 10471338148,pattern
212,Rothys,eCommerce / DTC Brands,Footwear,San Francisco,CA,500,$100M-$200M,Personalization AI,$10K-$25K,CTO,www.rothys.com,4,Sustainable footwear,info@rothys.com,contact@rothys.com,4421340952,3057066561; 16145158379,pattern
213,ThirdLove,eCommerce / DTC Brands,Apparel/Intimates,San Francisco,CA,200,$50M-$100M,Fit recommendation AI,$8K-$20K,VP of Engineering,www.thirdlove.com,3,AI-powered fit tech,info@thirdlove.com,contact@thirdlove.com,9558569057,8804302881; 7504229628,pattern
214,Quip,eCommerce / DTC Brands,Oral Care,Brooklyn,NY,100,$50M-$100M,Subscription management AI,$8K-$15K,CTO,www.getquip.com,3,Subscription oral care,info@getquip.com,contact@getquip.com,200.0310135,200.0635208; 12821702253,pattern
215,Hims & Hers Health,eCommerce / DTC Brands,Telehealth/DTC,San Francisco,CA,2000,$1B+,Customer service AI,$20K-$40K,Chief Technology Officer,www.forhims.com,5,Public company; $1B+ revenue,info@forhims.com,contact@forhims.com,160.2941176,2272727272; 0377358490,pattern
216,Native,eCommerce / DTC Brands,Personal Care,San Francisco,CA,100,$100M-$200M,Customer engagement AI,$8K-$20K,Director of E-Commerce,www.nativecos.com,3,P&G subsidiary,info@nativecos.com,contact@nativecos.com,5849378679,5807160894; 5859615395,pattern
217,Function of Beauty,eCommerce / DTC Brands,Hair Care,New York,NY,200,$100M-$200M,Personalization engine AI,$10K-$20K,CTO,www.functionofbeauty.com,4,Custom hair care,hello@functionofbeauty.com,,2147483647,8664884904; 4691068708,scraped
218,Prose,eCommerce / DTC Brands,Hair Care,New York,NY,150,$50M-$100M,Product customization AI,$8K-$20K,VP of Technology,www.prose.com,3,Custom hair care formulas,hello@prosehair.com,,6179669332,5989597356; 1478995994,scraped
219,Billie,eCommerce / DTC Brands,Personal Care,New York,NY,80,$50M-$100M,Subscription AI,$8K-$15K,Director of E-Commerce,www.mybillie.com,3,Womens razor brand,hello@mybillie.com,press@mybillie.com,2570558233,18123021441; +18888207422,scraped
220,Hubble Contacts,eCommerce / DTC Brands,Eye Care,New York,NY,100,$50M-$100M,Customer retention AI,$8K-$15K,CTO,www.hubblecontacts.com,3,Subscription contacts,info@hubblecontacts.com,contact@hubblecontacts.com,3057788945,6505142574; 6894319763,pattern
221,BarkBox,eCommerce / DTC Brands,Pet/Subscription,New York,NY,500,$200M-$500M,Customer engagement AI,$10K-$25K,VP of Engineering,www.barkbox.com,4,BARK Inc; public company,info@barkbox.com,contact@barkbox.com,7621323625,5699402090; 11627363639,pattern
222,Chewy,eCommerce / DTC Brands,Pet E-Commerce,Dania Beach,FL,20000,$10B+,Customer service AI,$30K-$50K,Chief Technology Officer,www.chewy.com,5,Largest online pet retailer,info@chewy.com,contact@chewy.com,,,pattern
223,FabFitFun,eCommerce / DTC Brands,Subscription Box,Los Angeles,CA,300,$200M-$500M,Personalization AI,$10K-$25K,CTO,www.fabfitfun.com,4,Seasonal subscription box,info@fabfitfun.com,contact@fabfitfun.com,,,pattern
224,Stitch Fix,eCommerce / DTC Brands,Fashion/AI,San Francisco,CA,5000,$1B+,Style recommendation AI,$20K-$40K,Chief Algorithm Officer,www.stitchfix.com,5,AI-powered fashion,info@stitchfix.com,contact@stitchfix.com,,,pattern
225,Italic,eCommerce / DTC Brands,Luxury DTC,Los Angeles,CA,50,$10M-$25M,Inventory management AI,$8K-$15K,CEO,www.italic.com,3,Direct-from-manufacturer,wholesale@italic.com,hello@italic.com,334843 1052,615232 1064; 257.131 1008,scraped
226,TRUFF,eCommerce / DTC Brands,Food/Condiments,Irvine,CA,50,$50M-$100M,Customer engagement AI,$8K-$15K,Director of E-Commerce,www.truff.com,3,Truffle hot sauce brand,support@truff.com,support@truffhotsauce.com; support@storefront.com,1699652007,1770875814; 1756838731,scraped
227,Fly By Jing,eCommerce / DTC Brands,Food/Condiments,Los Angeles,CA,30,$10M-$25M,Inventory automation,$8K-$12K,CEO,www.flybyjing.com,3,Sichuan-inspired sauces,info@flybyjing.com,contact@flybyjing.com,1741389583,14037518533; 5194536761,pattern
228,Brightland,eCommerce / DTC Brands,Food/Olive Oil,Los Angeles,CA,20,$5M-$10M,Customer retention AI,$5K-$10K,Founder,www.brightland.co,2,DTC olive oil brand,info@brightland.co,contact@brightland.co,13334144620,1614788804; 18041309697,pattern
229,Feat Clothing,eCommerce / DTC Brands,Athleisure,Henderson,NV,50,$10M-$25M,Customer service AI,$5K-$12K,Director of E-Commerce,www.featclothing.com,2,Growing DTC athleisure,info@featclothing.com,contact@featclothing.com,1656435291,7823523422; 6353326431,pattern
230,ASRV,eCommerce / DTC Brands,Athleisure,Carlsbad,CA,50,$10M-$25M,Inventory automation,$5K-$12K,CEO,www.asrv.com,2,Mens athletic brand,wes@topshelfbrandz.com,info@stagheaddesigns.com,11970328739,4746820017; 10758685839,scraped
231,Bylt Basics,eCommerce / DTC Brands,Apparel,Huntington Beach,CA,50,$10M-$25M,Customer engagement AI,$5K-$12K,Director of Marketing,www.byltbasics.com,2,Basics-focused apparel,info@byltbasics.com,contact@byltbasics.com,1739227096,1771308181; 1771308165,pattern
232,Lunya,eCommerce / DTC Brands,Sleepwear,Los Angeles,CA,100,$25M-$50M,Personalization AI,$8K-$15K,VP of E-Commerce,www.lunya.co,3,Premium sleepwear,support@glood.ai,,2328155278,6478849041; 1674695178,scraped
233,Thousand Fell,eCommerce / DTC Brands,Footwear,New York,NY,30,$5M-$10M,Customer retention AI,$5K-$10K,CEO,www.thousandfell.com,2,Recyclable sneakers,info@thousandfell.com,contact@thousandfell.com,200.0310135,200.0635208; 13844162159,pattern
234,Bite Toothpaste,eCommerce / DTC Brands,Personal Care,Los Angeles,CA,50,$10M-$25M,Subscription AI,$5K-$12K,Director of Operations,www.bitetoothpastebits.com,2,Sustainable oral care,hello@bitetoothpastebits.com,,13463460260,11665766023; 8917921101,scraped
235,Huron,eCommerce / DTC Brands,Mens Grooming,New York,NY,30,$5M-$10M,Customer engagement AI,$5K-$10K,CEO,www.usehuron.com,2,Mens personal care,help@usehuron.com,,5158928473,18605919473; 1682964811,scraped
236,Wild One,eCommerce / DTC Brands,Pet Products,New York,NY,40,$10M-$25M,Customer service AI,$5K-$12K,Director of E-Commerce,www.wildone.com,2,Modern pet brand,info@wildone.com,contact@wildone.com,1664883879,11063237065; 9974612881,pattern
237,Chippin,eCommerce / DTC Brands,Pet Food,New York,NY,20,$5M-$10M,Subscription management AI,$5K-$10K,CEO,www.chippin.com,2,Sustainable pet food,info@chippin.com,contact@chippin.com,6666666666,9999999999; 1.7543859649,pattern
238,The Farmers Dog,eCommerce / DTC Brands,Pet Food,New York,NY,500,$200M-$500M,Customer service AI,$10K-$25K,CTO,www.thefarmersdog.com,4,Fresh dog food subscription,info@thefarmersdog.com,contact@thefarmersdog.com,15780152491,1067880890; 716006-8596,pattern
239,MUSH,eCommerce / DTC Brands,Food/Oats,Los Angeles,CA,30,$10M-$25M,Inventory automation,$5K-$12K,Director of Operations,www.eatmush.com,2,Ready-to-eat oats,hello@eatmush.com,info@stagheaddesigns.com,1626905343,1629446388; 16207343553,scraped
240,ColourPop,eCommerce / DTC Brands,Beauty,Los Angeles,CA,400,$200M-$500M,Personalization engine AI,$10K-$25K,VP of E-Commerce,www.colourpop.com,4,Affordable DTC beauty,info@colourpop.com,contact@colourpop.com,4059582218,7560632071; 17303574505,pattern
241,Planet Fitness,Fitness / Gym Franchises,Value Gym,Hampton,NH,40000,$1B+,Member retention AI,$25K-$50K,Chief Digital Officer,www.planetfitness.com,5,2400+ locations; NYSE listed,info@planetfitness.com,contact@planetfitness.com,,,pattern
242,Anytime Fitness,Fitness / Gym Franchises,24-Hour Gym,Woodbury,MN,30000,$500M-$1B,Lead nurturing AI,$20K-$40K,VP of Technology,www.anytimefitness.com,5,5000+ locations worldwide,mediainquiries@sebrands.com,customercare@abcfitness.com; member.solutions@sebrands.com,6750786091,4395409186; 19438725055,scraped
243,Crunch Fitness,Fitness / Gym Franchises,Full-Service Gym,New York,NY,10000,$500M-$1B,Scheduling automation,$15K-$30K,CTO,www.crunch.com,4,450+ locations,info@crunch.com,contact@crunch.com,4729039075,9939498621; 4823136230,pattern
244,Golds Gym,Fitness / Gym Franchises,Full-Service Gym,Dallas,TX,5000,$200M-$500M,Member engagement AI,$15K-$30K,VP of Digital,www.goldsgym.com,4,Iconic brand; 700+ locations,websiteinquiries@goldsgym.com,,1589017372,1510349791; 1956804-9105,scraped
245,Orangetheory Fitness,Fitness / Gym Franchises,Boutique Fitness,Boca Raton,FL,15000,$1B+,Member retention AI,$20K-$40K,Chief Technology Officer,www.orangetheory.com,5,1500+ studios,info@orangetheory.com,contact@orangetheory.com,6629184900,6149520992; 6215926870,pattern
246,F45 Training,Fitness / Gym Franchises,Boutique Fitness,Austin,TX,5000,$200M-$500M,Scheduling AI,$10K-$25K,CTO,www.f45training.com,4,1750+ studios globally,info@f45training.com,contact@f45training.com,9343856500,1771911747; 1140853335,pattern
247,Club Pilates,Fitness / Gym Franchises,Boutique Fitness,Irvine,CA,8000,$200M-$500M,Lead nurturing AI,$10K-$25K,VP of Technology,www.clubpilates.com,4,Xponential brand; 800+ studios,operations@clubpilates.com,,16640894093,17364659659; 16641985216,scraped
248,HOTWORX,Fitness / Gym Franchises,Infrared Fitness,Baton Rouge,LA,3000,$100M-$200M,Member retention AI,$8K-$20K,Director of Technology,www.hotworx.net,3,700+ locations,manager.tx0198@hotworx.net,studio.tx0198@hotworx.net; studio.tx0057@hotworx.net; manager.tx0057@hotworx.net,5915109173,2942122015; 7428875613,scraped
249,Pure Barre,Fitness / Gym Franchises,Boutique Fitness,Irvine,CA,5000,$100M-$200M,Scheduling automation,$8K-$20K,VP of Operations,www.purebarre.com,3,Xponential brand; 600+ studios,info@purebarre.com,contact@purebarre.com,16744254712,17691244789; 17690383245,pattern
250,D1 Training,Fitness / Gym Franchises,Athletic Training,Nashville,TN,2000,$50M-$100M,Lead qualification AI,$8K-$15K,Director of Technology,www.d1training.com,3,100+ locations,info@d1training.com,contact@d1training.com,2565104887,7263817988; 6511237585,pattern
251,Burn Boot Camp,Fitness / Gym Franchises,Boutique Fitness,Cornelius,NC,3000,$100M-$200M,Member engagement AI,$8K-$20K,VP of Technology,www.burnbootcamp.com,3,350+ locations,info@burnbootcamp.com,contact@burnbootcamp.com,10217008361,1766170287; 5418185427,pattern
252,The Exercise Coach,Fitness / Gym Franchises,Personal Training,Lake Zurich,IL,1000,$25M-$50M,Scheduling AI,$5K-$15K,Director of Operations,www.exercisecoach.com,3,140+ studios,info@exercisecoach.com,contact@exercisecoach.com,1770067602,1770067726; 1770067604,pattern
253,StretchLab,Fitness / Gym Franchises,Recovery/Stretch,Irvine,CA,3000,$50M-$100M,Appointment scheduling AI,$8K-$15K,VP of Technology,www.stretchlab.com,3,Xponential brand; 300+ studios,info@stretchlab.com,contact@stretchlab.com,16744610524,17556272642; 16744525965,pattern
254,TITLE Boxing Club,Fitness / Gym Franchises,Boxing Fitness,Kansas City,MO,1500,$25M-$50M,Lead nurturing AI,$5K-$15K,Director of Marketing,www.titleboxingclub.com,3,150+ locations,info@titleboxingclub.com,,19115639424,17658461994; 19145948118,pattern
255,Row House,Fitness / Gym Franchises,Boutique Fitness,Irvine,CA,1500,$25M-$50M,Member retention AI,$5K-$15K,VP of Operations,www.therowhouse.com,3,Xponential brand; rowing focus,marketing@therowhouse.com,,15191678449,16744427858; 17369744058,scraped
256,Barrys,Fitness / Gym Franchises,Boutique Fitness,Los Angeles,CA,2000,$100M-$200M,Scheduling automation AI,$10K-$20K,CTO,www.barrys.com,3,80+ studios,info@barrys.com,contact@barrys.com,464308.6696,511589.6696; 964063.2232,pattern
257,SoulCycle,Fitness / Gym Franchises,Cycling,New York,NY,2000,$100M-$200M,Member engagement AI,$10K-$20K,VP of Technology,www.soul-cycle.com,3,Premium cycling studios,yoursoulmatters@soul-cycle.com,,2924861034,6475950959; +1-646-755-6872,scraped
258,Equinox,Fitness / Gym Franchises,Premium Fitness,New York,NY,10000,$1B+,Personalization AI,$20K-$40K,Chief Digital Officer,www.equinox.com,5,Premium fitness brand; 100+ clubs,concierge@equinox.com,pr@equinox.com,4533470681,2763769630; 4597263290,scraped
259,Life Time Fitness,Fitness / Gym Franchises,Premium Fitness,Chanhassen,MN,30000,$1B+,Member engagement AI,$25K-$50K,Chief Technology Officer,www.lifetime.life,5,170+ destinations; NYSE listed,info@lifetime.life,contact@lifetime.life,17018812414,19055901499,pattern
260,LA Fitness,Fitness / Gym Franchises,Full-Service Gym,Irvine,CA,10000,$1B+,Member retention AI,$20K-$35K,VP of Technology,www.lafitness.com,4,700+ clubs,info@lafitness.com,contact@lafitness.com,6389015197,1023351969; 1000000000,pattern
261,24 Hour Fitness,Fitness / Gym Franchises,Full-Service Gym,San Ramon,CA,8000,$500M-$1B,Scheduling automation AI,$15K-$30K,CTO,www.24hourfitness.com,4,300+ clubs,info@24hourfitness.com,contact@24hourfitness.com,12300866441,10331260218; 2120135750,pattern
262,YMCA of Greater New York,Fitness / Gym Franchises,Community Fitness,New York,NY,5000,$200M-$500M,Member engagement AI,$15K-$25K,CIO,www.ymcanyc.org,4,Largest US YMCA association,bedstuy@ymcanyc.org,mjhangir@ymcanyc.org; dodge_contact@ymcanyc.org; flatbush_contact@ymcanyc.org,212-630-9600,1289933359; 1530754645,scraped
263,UFC Gym,Fitness / Gym Franchises,MMA Fitness,Irvine,CA,3000,$100M-$200M,Lead nurturing AI,$10K-$20K,VP of Technology,www.ufcgym.com,3,150+ locations,contact@ufcgym.com,,175.176.3661,1159387112; 1610025918,pattern
264,Snap Fitness,Fitness / Gym Franchises,24-Hour Gym,Chanhassen,MN,5000,$100M-$200M,Member retention AI,$8K-$20K,Director of Technology,www.snapfitness.com,3,1000+ locations,info@snapfitness.com,contact@snapfitness.com,0484562807,1535108079,pattern
265,Blink Fitness,Fitness / Gym Franchises,Value Gym,New York,NY,3000,$100M-$200M,Scheduling AI,$8K-$20K,CTO,www.blinkfitness.com,3,100+ locations,info@blinkfitness.com,contact@blinkfitness.com,2109221049,1772479904; 8387096774,pattern
266,EOS Fitness,Fitness / Gym Franchises,Full-Service Gym,Phoenix,AZ,2000,$50M-$100M,Lead qualification AI,$8K-$15K,VP of Operations,www.eosfitness.com,3,Growing Southwest brand,info@eosfitness.com,contact@eosfitness.com,9788538365,2004653821; 406-2167793,pattern
267,Xponential Fitness,Fitness / Gym Franchises,Multi-Brand,Irvine,CA,5000,$200M-$500M,Multi-brand analytics AI,$20K-$40K,Chief Technology Officer,www.xponential.com,5,Parent of 10 fitness brands; NYSE,info@xponential.com,contact@xponential.com,11664574886,17428759417; 7998142403,pattern
268,CycleBar,Fitness / Gym Franchises,Cycling,Irvine,CA,2000,$50M-$100M,Member engagement AI,$8K-$15K,VP of Technology,www.cyclebar.com,3,Xponential brand; 200+ studios,info@cyclebar.com,contact@cyclebar.com,16744183330,17364673795; 16744155939,pattern
269,YogaSix,Fitness / Gym Franchises,Yoga,Irvine,CA,2000,$50M-$100M,Scheduling automation,$8K-$15K,Director of Operations,www.yogasix.com,3,Xponential brand; 200+ studios,contact@yogasix.com,,16711354561,17388772469; 17418247724,pattern
270,AKT,Fitness / Gym Franchises,Dance Fitness,Irvine,CA,500,$10M-$25M,Lead nurturing AI,$5K-$12K,VP of Operations,www.theakt.com,2,Xponential brand,aktbriercreek@theakt.com,,16707801988,17415318134; 16708358047,scraped
271,Rumble Boxing,Fitness / Gym Franchises,Boxing Fitness,New York,NY,1000,$25M-$50M,Member retention AI,$8K-$15K,Director of Technology,www.rumbleboxinggym.com,3,Xponential brand,info@rumbleboxinggym.com,contact@rumbleboxinggym.com,16744285956,17364677245; 16744503685,pattern
272,BFT (Body Fit Training),Fitness / Gym Franchises,Functional Training,Irvine,CA,1500,$25M-$50M,Scheduling AI,$5K-$15K,VP of Technology,www.bodyfittraining.com,3,Xponential brand; Australian origin,info@bodyfittraining.com,contact@bodyfittraining.com,16745887318,17364672349; 16754752453,pattern
273,Solidcore,Fitness / Gym Franchises,Pilates/Strength,Washington,DC,1500,$50M-$100M,Member engagement AI,$8K-$20K,CTO,www.solidcore.co,3,100+ studios,info@solidcore.co,contact@solidcore.co,1452460311,,pattern
274,CorePower Yoga,Fitness / Gym Franchises,Yoga,Denver,CO,3000,$100M-$200M,Scheduling automation AI,$10K-$20K,VP of Technology,www.corepoweryoga.com,3,200+ studios,mediainquiries@corepoweryoga.com,partnerships@corepoweryoga.com; corepoweryoga@azionepr.com,3243104517,2785247414; 8133031103,scraped
275,Club4 Fitness,Fitness / Gym Franchises,Value Gym,Flowood,MS,1000,$25M-$50M,Lead qualification AI,$5K-$15K,Director of Operations,www.club4fitness.com,2,Southeast value gym,info@club4fitness.com,contact@club4fitness.com,1770665344,1771640929; 1771640930,pattern
276,Workout Anytime,Fitness / Gym Franchises,24-Hour Gym,Alpharetta,GA,1500,$25M-$50M,Member retention AI,$5K-$15K,VP of Technology,www.workoutanytime.com,3,200+ locations,info@workoutanytime.com,contact@workoutanytime.com,7368123149,400-1680189; 400-1680724,pattern
277,Retro Fitness,Fitness / Gym Franchises,Value Gym,Colts Neck,NJ,2000,$50M-$100M,Lead nurturing AI,$8K-$15K,Director of Technology,www.retrofitness.com,3,140+ locations,info@retrofitness.com,contact@retrofitness.com,1772479916,1772479917,pattern
278,Basecamp Fitness,Fitness / Gym Franchises,HIIT,Irvine,CA,500,$10M-$25M,Scheduling automation,$5K-$12K,Director of Operations,www.basecampfitness.com,2,Xponential brand,info@basecampfitness.com,contact@basecampfitness.com,1460829662,947248-5305; 106.5680974,pattern
279,MADabolic,Fitness / Gym Franchises,Strength Training,Charlotte,NC,500,$10M-$25M,Member engagement AI,$5K-$12K,Director of Operations,www.madabolic.com,2,50+ studios,southpark@madabolic.com,coloradosprings@madabolic.com; iondistrict@madabolic.com; bend@madabolic.com,2252728365,17424354612; (463) 800-7824,scraped
280,CrossFit Mayhem,Fitness / Gym Franchises,CrossFit,Cookeville,TN,50,$5M-$10M,Member scheduling AI,$5K-$10K,Owner,www.crossfitmayhem.com,2,Top CrossFit affiliate; Rich Froning,shop@mayhemnation.com,,17182134731,2696842561; 8220251795,scraped
281,Lockton Companies,Insurance Agencies,Private Brokerage,Kansas City,MO,10500,$1B+,Claims processing AI,$25K-$50K,Chief Technology Officer,www.lockton.com,5,Largest privately held brokerage,missy.sullivan@lockton.com,,0000000032,869-7148073; 0056240306,scraped
282,USI Insurance Services,Insurance Agencies,Brokerage,Valhalla,NY,10500,$1B+,Lead scoring AI,$25K-$50K,CTO,www.usi.com,5,10500 professionals; 200 offices,kate.bang@usi.com,careerinfo@usi.com; ebsolutions@usi.com; benefits.servicecenter@usi.com,3605142025,412-0836920; 250522.0604,scraped
283,Marsh McLennan Agency,Insurance Agencies,Brokerage,New York,NY,15000,$1B+,Underwriting automation,$30K-$50K,Chief Digital Officer,www.marshmma.com,5,Part of Marsh McLennan,alexandra.oconnor@marshmma.com,,788538-2162,9222960274; 1554347084,scraped
284,Hub International,Insurance Agencies,Brokerage,Chicago,IL,18000,$1B+,Claims processing AI,$25K-$50K,VP of Technology,www.hubinternational.com,5,500+ offices,info@hubinternational.com,contact@hubinternational.com,7931924799,806448-4524; 11626912514,pattern
285,Acrisure,Insurance Agencies,Brokerage,Grand Rapids,MI,16000,$1B+,AI-powered quoting,$25K-$50K,CTO,www.acrisure.com,5,Fast growing; PE-backed,username@email.com,,7927492383,8142777667; 301877-7087,scraped
286,Gallagher,Insurance Agencies,Global Brokerage,Rolling Meadows,IL,52000,$5B+,Underwriting AI,$30K-$50K,Chief Innovation Officer,www.ajg.com,5,Acquired AssuredPartners,info@ajg.com,contact@ajg.com,,,pattern
287,Brown & Brown,Insurance Agencies,Brokerage,Daytona Beach,FL,16000,$1B+,Claims automation AI,$25K-$50K,Chief Technology Officer,www.bbinsurance.com,5,NYSE listed; acquisition-driven,info@bbinsurance.com,contact@bbinsurance.com,0211414300,17395401902; 17466424340,pattern
288,AssuredPartners,Insurance Agencies,Brokerage,Lake Mary,FL,11000,$1B+,Lead scoring AI,$20K-$40K,CTO,www.assuredpartners.com,4,Acquired by Gallagher,info@assuredpartners.com,contact@assuredpartners.com,190751-4478,992757-5988; 1327166847,pattern
289,NFP,Insurance Agencies,Brokerage,New York,NY,7000,$1B+,Client onboarding AI,$20K-$35K,VP of Innovation,www.nfp.com,4,Part of Aon,info@nfp.com,contact@nfp.com,1441231484,4739011417; 4535529090,pattern
290,Risk Strategies,Insurance Agencies,Specialty Brokerage,Boston,MA,5000,$500M-$1B,Underwriting automation,$15K-$30K,Director of Technology,www.risk-strategies.com,4,Top 20 brokerage,info@risk-strategies.com,contact@risk-strategies.com,8109772860,17719623407; 8109772859,pattern
291,Alliant Insurance Services,Insurance Agencies,Specialty Brokerage,Newport Beach,CA,3500,$500M-$1B,Claims processing AI,$15K-$30K,CTO,www.alliant.com,4,Employee-owned,info@alliant.com,contact@alliant.com,0000000004,2133341237; 1682355853,pattern
292,IMA Financial Group,Insurance Agencies,Brokerage,Denver,CO,2000,$200M-$500M,Lead scoring AI,$10K-$25K,VP of Technology,www.imacorp.com,3,Employee-owned,info@imacorp.com,contact@imacorp.com,9999999999,1759767217; 1764781342,pattern
293,EPIC Insurance Brokers,Insurance Agencies,Brokerage,San Francisco,CA,2800,$200M-$500M,Client engagement AI,$10K-$25K,Director of Technology,www.epicbrokers.com,3,Growth-focused,info@epicbrokers.com,contact@epicbrokers.com,1771606825,1731689794; 2118049149,pattern
294,Higginbotham,Insurance Agencies,Regional Brokerage,Fort Worth,TX,2500,$200M-$500M,Claims automation,$10K-$25K,VP of IT,www.higginbotham.com,3,Largest independent in TX,info@higginbotham.com,contact@higginbotham.com,17026835338,1763800968; 1763800678,pattern
295,Holmes Murphy,Insurance Agencies,Regional Brokerage,Waukee,IA,1800,$100M-$200M,Underwriting AI,$10K-$20K,Director of Innovation,www.holmesmurphy.com,3,Employee-owned; Midwest,info@holmesmurphy.com,contact@holmesmurphy.com,8779511776,4809514060; 8444847750,pattern
