ID,Company_Name,Industry_Vertical,Sub_Category,City,State,Estimated_Employees,Estimated_Revenue_Range,AI_Automation_Use_Case,Estimated_Deal_Size,Decision_Maker_Title,Website,Priority_Score,Notes,Contact_Email,Alt_Emails,Contact_Phone,Alt_Phones,Email_Source,DM_Name,DM_Professional_Email,DM_Email_Patterns,DM_LinkedIn_Search,LinkedIn_Company,LinkedIn_People_Found,Twitter,Facebook,Instagram,YouTube,Name_Source,DM_Google_Search
230,ASRV,eCommerce / DTC Brands,Athleisure,Carlsbad,CA,50,$10M-$25M,Inventory automation,$5K-$12K,CEO,www.asrv.com,2,Mens athletic brand,wes@topshelfbrandz.com,info@stagheaddesigns.com,(197) 032-8739,(474) 682-0017; (075) 868-5839,scraped,,,[first].[last]@asrv.com; [f][last]@asrv.com; [first]@asrv.com; [first][last]@asrv.com,https://www.linkedin.com/search/results/people/?keywords=%22CEO%22+%22ASRV%22,https://www.linkedin.com/company/asrv,,https://twitter.com/asrvsportswear,https://www.facebook.com/asrvsportswear/,https://www.instagram.com/asrv/,https://www.youtube.com/channel/UCYUwDoGKEGis5Q1mASQA7Kg,,https://www.google.com/search?q=ASRV+%22CEO%22+site%3Alinkedin.com%2Fin
231,Bylt Basics,eCommerce / DTC Brands,Apparel,Huntington Beach,CA,50,$10M-$25M,Customer engagement AI,$5K-$12K,Director of Marketing,www.byltbasics.com,2,Basics-focused apparel,info@byltbasics.com,contact@byltbasics.com,(173) 922-7096,(177) 130-8181; (177) 130-8165,pattern,,,[first].[last]@byltbasics.com; [f][last]@byltbasics.com; [first]@byltbasics.com; [first][last]@byltbasics.com,https://www.linkedin.com/search/results/people/?keywords=%22Director+of+Marketing%22+%22Bylt+Basics%22,https://www.linkedin.com/company/bylt-basics/,,,https://www.facebook.com/BYLTbasics/,https://www.instagram.com/byltbasics/,https://www.youtube.com/channel/UC0ZGeZLtp4ojjKz-3P1evcA,,https://www.google.com/search?q=Bylt+Basics+%22Director+of+Marketing%22+site%3Alinkedin.com%2Fin
232,Lunya,eCommerce / DTC Brands,Sleepwear,Los Angeles,CA,100,$25M-$50M,Personalization AI,$8K-$15K,VP of E-Commerce,www.lunya.co,3,Premium sleepwear,support@glood.ai,,(232) 815-5278,(647) 884-9041; (167) 469-5178,scraped,,,[first].[last]@lunya.co; [f][last]@lunya.co; [first]@lunya.co; [first][last]@lunya.co,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+E-Commerce%22+%22Lunya%22,,,,https://www.facebook.com/lunya.co,https://www.instagram.com/lunya/,https://www.youtube.com/channel/UCMU6LqrJ2PJrHpFiEN_yQJA,,https://www.google.com/search?q=Lunya+%22VP+of+E-Commerce%22+site%3Alinkedin.com%2Fin
233,Thousand Fell,eCommerce / DTC Brands,Footwear,New York,NY,30,$5M-$10M,Customer retention AI,$5K-$10K,CEO,www.thousandfell.com,2,Recyclable sneakers,info@thousandfell.com,contact@thousandfell.com,(200) 031-0135,(200) 063-5208; (384) 416-2159,pattern,,,[first].[last]@thousandfell.com; [f][last]@thousandfell.com; [first]@thousandfell.com; [first][last]@thousandfell.com,https://www.linkedin.com/search/results/people/?keywords=%22CEO%22+%22Thousand+Fell%22,,,,,https://www.instagram.com/thousand_fell/,,,https://www.google.com/search?q=Thousand+Fell+%22CEO%22+site%3Alinkedin.com%2Fin
234,Bite Toothpaste,eCommerce / DTC Brands,Personal Care,Los Angeles,CA,50,$10M-$25M,Subscription AI,$5K-$12K,Director of Operations,www.bitetoothpastebits.com,2,Sustainable oral care,hello@bitetoothpastebits.com,,(346) 346-0260,(166) 576-6023; (891) 792-1101,scraped,,,[first].[last]@bitetoothpastebits.com; [f][last]@bitetoothpastebits.com; [first]@bitetoothpastebits.com; [first][last]@bitetoothpastebits.com,https://www.linkedin.com/search/results/people/?keywords=%22Director+of+Operations%22+%22Bite+Toothpaste%22,,,https://twitter.com/uwt,https://www.facebook.com/bitetoothpastebits,https://www.instagram.com/bite,,,https://www.google.com/search?q=Bite+Toothpaste+%22Director+of+Operations%22+site%3Alinkedin.com%2Fin
235,Huron,eCommerce / DTC Brands,Mens Grooming,New York,NY,30,$5M-$10M,Customer engagement AI,$5K-$10K,CEO,www.usehuron.com,2,Mens personal care,help@usehuron.com,,(515) 892-8473,(856) 858-3613; (168) 296-4811,scraped,,,[first].[last]@usehuron.com; [f][last]@usehuron.com; [first]@usehuron.com; [first][last]@usehuron.com,https://www.linkedin.com/search/results/people/?keywords=%22CEO%22+%22Huron%22,,,,,,,,https://www.google.com/search?q=Huron+%22CEO%22+site%3Alinkedin.com%2Fin
236,Wild One,eCommerce / DTC Brands,Pet Products,New York,NY,40,$10M-$25M,Customer service AI,$5K-$12K,Director of E-Commerce,www.wildone.com,2,Modern pet brand,info@wildone.com,contact@wildone.com,(166) 488-3879,(106) 323-7065; (997) 461-2881,pattern,,,[first].[last]@wildone.com; [f][last]@wildone.com; [first]@wildone.com; [first][last]@wildone.com,https://www.linkedin.com/search/results/people/?keywords=%22Director+of+E-Commerce%22+%22Wild+One%22,,,,http://facebook.com/wildonepets,http://instagram.com/wildone,,,https://www.google.com/search?q=Wild+One+%22Director+of+E-Commerce%22+site%3Alinkedin.com%2Fin
237,Chippin,eCommerce / DTC Brands,Pet Food,New York,NY,20,$5M-$10M,Subscription management AI,$5K-$10K,CEO,www.chippin.com,2,Sustainable pet food,info@chippin.com,contact@chippin.com,(666) 666-6666,(754) 385-9649,pattern,,,[first].[last]@chippin.com; [f][last]@chippin.com; [first]@chippin.com; [first][last]@chippin.com,https://www.linkedin.com/search/results/people/?keywords=%22CEO%22+%22Chippin%22,https://www.linkedin.com/company/2522661/,,https://twitter.com/ChippinApp,https://www.facebook.com/chippinapp/,https://www.instagram.com/chippinapp,https://www.youtube.com/@chippinapp,,https://www.google.com/search?q=Chippin+%22CEO%22+site%3Alinkedin.com%2Fin
238,The Farmers Dog,eCommerce / DTC Brands,Pet Food,New York,NY,500,$200M-$500M,Customer service AI,$10K-$25K,CTO,www.thefarmersdog.com,4,Fresh dog food subscription,info@thefarmersdog.com,contact@thefarmersdog.com,(578) 015-2491,(106) 788-0890; (716) 006-8596,pattern,,,[first].[last]@thefarmersdog.com; [f][last]@thefarmersdog.com; [first]@thefarmersdog.com; [first][last]@thefarmersdog.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22The+Farmers+Dog%22,,,https://twitter.com/thefarmersdog,https://www.facebook.com/thefarmersdog,https://www.instagram.com/thefarmersdog/,https://www.youtube.com/channel/UC3leux6UUKfAiNxlZeiMg7g,,https://www.google.com/search?q=The+Farmers+Dog+%22CTO%22+site%3Alinkedin.com%2Fin
239,MUSH,eCommerce / DTC Brands,Food/Oats,Los Angeles,CA,30,$10M-$25M,Inventory automation,$5K-$12K,Director of Operations,www.eatmush.com,2,Ready-to-eat oats,hello@eatmush.com,info@stagheaddesigns.com,(162) 690-5343,(162) 944-6388; (620) 734-3553,scraped,,,[first].[last]@eatmush.com; [f][last]@eatmush.com; [first]@eatmush.com; [first][last]@eatmush.com,https://www.linkedin.com/search/results/people/?keywords=%22Director+of+Operations%22+%22MUSH%22,,,,,https://www.instagram.com/mush,,,https://www.google.com/search?q=MUSH+%22Director+of+Operations%22+site%3Alinkedin.com%2Fin
240,ColourPop,eCommerce / DTC Brands,Beauty,Los Angeles,CA,400,$200M-$500M,Personalization engine AI,$10K-$25K,VP of E-Commerce,www.colourpop.com,4,Affordable DTC beauty,info@colourpop.com,contact@colourpop.com,(405) 958-2218,(756) 063-2071; (730) 357-4505,pattern,,,[first].[last]@colourpop.com; [f][last]@colourpop.com; [first]@colourpop.com; [first][last]@colourpop.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+E-Commerce%22+%22ColourPop%22,,,https://x.com/colourpopco,,,,,https://www.google.com/search?q=ColourPop+%22VP+of+E-Commerce%22+site%3Alinkedin.com%2Fin
241,Planet Fitness,Fitness / Gym Franchises,Value Gym,Hampton,NH,40000,$1B+,Member retention AI,$25K-$50K,Chief Digital Officer,www.planetfitness.com,5,2400+ locations; NYSE listed,info@planetfitness.com,contact@planetfitness.com,,,pattern,,,[first].[last]@planetfitness.com; [f][last]@planetfitness.com; [first]@planetfitness.com; [first][last]@planetfitness.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Digital+Officer%22+%22Planet+Fitness%22,,,,,,,,https://www.google.com/search?q=Planet+Fitness+%22Chief+Digital+Officer%22+site%3Alinkedin.com%2Fin
242,Anytime Fitness,Fitness / Gym Franchises,24-Hour Gym,Woodbury,MN,30000,$500M-$1B,Lead nurturing AI,$20K-$40K,VP of Technology,www.anytimefitness.com,5,5000+ locations worldwide,mediainquiries@sebrands.com,customercare@abcfitness.com; member.solutions@sebrands.com,(675) 078-6091,(439) 540-9186; (943) 872-5055,scraped,,,[first].[last]@anytimefitness.com; [f][last]@anytimefitness.com; [first]@anytimefitness.com; [first][last]@anytimefitness.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+Technology%22+%22Anytime+Fitness%22,https://www.linkedin.com/company/anytime-fitness/,,https://x.com/AnytimeFitness,https://www.facebook.com/AnytimeFitness,https://www.instagram.com/anytimefitness/,,,https://www.google.com/search?q=Anytime+Fitness+%22VP+of+Technology%22+site%3Alinkedin.com%2Fin
243,Crunch Fitness,Fitness / Gym Franchises,Full-Service Gym,New York,NY,10000,$500M-$1B,Scheduling automation,$15K-$30K,CTO,www.crunch.com,4,450+ locations,info@crunch.com,contact@crunch.com,(472) 903-9075,(993) 949-8621; (482) 313-6230,pattern,,,[first].[last]@crunch.com; [f][last]@crunch.com; [first]@crunch.com; [first][last]@crunch.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22Crunch+Fitness%22,,,https://twitter.com/crunchgym/,https://www.facebook.com/crunch/,https://www.instagram.com/crunchgym/,,,https://www.google.com/search?q=Crunch+Fitness+%22CTO%22+site%3Alinkedin.com%2Fin
244,Golds Gym,Fitness / Gym Franchises,Full-Service Gym,Dallas,TX,5000,$200M-$500M,Member engagement AI,$15K-$30K,VP of Digital,www.goldsgym.com,4,Iconic brand; 700+ locations,websiteinquiries@goldsgym.com,,(158) 901-7372,(151) 034-9791; (956) 804-9105,scraped,,,[first].[last]@goldsgym.com; [f][last]@goldsgym.com; [first]@goldsgym.com; [first][last]@goldsgym.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+Digital%22+%22Golds+Gym%22,,,https://twitter.com/GoldsGym,https://www.facebook.com/goldsgym/,https://www.instagram.com/goldsgym,,,https://www.google.com/search?q=Golds+Gym+%22VP+of+Digital%22+site%3Alinkedin.com%2Fin
245,Orangetheory Fitness,Fitness / Gym Franchises,Boutique Fitness,Boca Raton,FL,15000,$1B+,Member retention AI,$20K-$40K,Chief Technology Officer,www.orangetheory.com,5,1500+ studios,info@orangetheory.com,contact@orangetheory.com,(662) 918-4900,(614) 952-0992; (621) 592-6870,pattern,,,[first].[last]@orangetheory.com; [f][last]@orangetheory.com; [first]@orangetheory.com; [first][last]@orangetheory.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Technology+Officer%22+%22Orangetheory+Fitness%22,https://www.linkedin.com/company/orangetheory-fitness/,,https://twitter.com/orangetheory,https://www.facebook.com/OrangetheoryFitness,https://www.instagram.com/orangetheory/,,,https://www.google.com/search?q=Orangetheory+Fitness+%22Chief+Technology+Officer%22+site%3Alinkedin.com%2Fin
246,F45 Training,Fitness / Gym Franchises,Boutique Fitness,Austin,TX,5000,$200M-$500M,Scheduling AI,$10K-$25K,CTO,www.f45training.com,4,1750+ studios globally,info@f45training.com,contact@f45training.com,(934) 385-6500,(177) 191-1747; (114) 085-3335,pattern,,,[first].[last]@f45training.com; [f][last]@f45training.com; [first]@f45training.com; [first][last]@f45training.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22F45+Training%22,https://www.linkedin.com/company/f45-training,,https://x.com/mapbox,https://www.facebook.com/tr,https://instagram.com/f45_training/,,,https://www.google.com/search?q=F45+Training+%22CTO%22+site%3Alinkedin.com%2Fin
247,Club Pilates,Fitness / Gym Franchises,Boutique Fitness,Irvine,CA,8000,$200M-$500M,Lead nurturing AI,$10K-$25K,VP of Technology,www.clubpilates.com,4,Xponential brand; 800+ studios,operations@clubpilates.com,,(664) 089-4093,(736) 465-9659; (664) 198-5216,scraped,,,[first].[last]@clubpilates.com; [f][last]@clubpilates.com; [first]@clubpilates.com; [first][last]@clubpilates.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+Technology%22+%22Club+Pilates%22,https://www.linkedin.com/company/club-pilates-san-diego/,,https://x.com/mapbox,https://www.facebook.com/clubpilates,https://www.instagram.com/clubpilates,,,https://www.google.com/search?q=Club+Pilates+%22VP+of+Technology%22+site%3Alinkedin.com%2Fin
248,HOTWORX,Fitness / Gym Franchises,Infrared Fitness,Baton Rouge,LA,3000,$100M-$200M,Member retention AI,$8K-$20K,Director of Technology,www.hotworx.net,3,700+ locations,manager.tx0198@hotworx.net,studio.tx0198@hotworx.net; studio.tx0057@hotworx.net; manager.tx0057@hotworx.net,(591) 510-9173,(294) 212-2015; (742) 887-5613,scraped,,,[first].[last]@hotworx.net; [f][last]@hotworx.net; [first]@hotworx.net; [first][last]@hotworx.net,https://www.linkedin.com/search/results/people/?keywords=%22Director+of+Technology%22+%22HOTWORX%22,https://www.linkedin.com/company/hotworx/,,,https://www.facebook.com/tr,https://www.instagram.com/hotworx/,,,https://www.google.com/search?q=HOTWORX+%22Director+of+Technology%22+site%3Alinkedin.com%2Fin
249,Pure Barre,Fitness / Gym Franchises,Boutique Fitness,Irvine,CA,5000,$100M-$200M,Scheduling automation,$8K-$20K,VP of Operations,www.purebarre.com,3,Xponential brand; 600+ studios,info@purebarre.com,contact@purebarre.com,(674) 425-4712,(769) 124-4789; (769) 038-3245,pattern,,,[first].[last]@purebarre.com; [f][last]@purebarre.com; [first]@purebarre.com; [first][last]@purebarre.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+Operations%22+%22Pure+Barre%22,https://www.linkedin.com/company/pure-barre/,,https://x.com/mapbox,https://www.facebook.com/purebarre,https://www.instagram.com/pure_barre,,,https://www.google.com/search?q=Pure+Barre+%22VP+of+Operations%22+site%3Alinkedin.com%2Fin
250,D1 Training,Fitness / Gym Franchises,Athletic Training,Nashville,TN,2000,$50M-$100M,Lead qualification AI,$8K-$15K,Director of Technology,www.d1training.com,3,100+ locations,info@d1training.com,contact@d1training.com,(256) 510-4887,(726) 381-7988; (651) 123-7585,pattern,,,[first].[last]@d1training.com; [f][last]@d1training.com; [first]@d1training.com; [first][last]@d1training.com,https://www.linkedin.com/search/results/people/?keywords=%22Director+of+Technology%22+%22D1+Training%22,https://www.linkedin.com/company/d1-sports-training,,https://x.com/D1Sports,https://www.facebook.com/D1Sports/,https://www.instagram.com/d1training_official,https://www.youtube.com/@d1training,,https://www.google.com/search?q=D1+Training+%22Director+of+Technology%22+site%3Alinkedin.com%2Fin
251,Burn Boot Camp,Fitness / Gym Franchises,Boutique Fitness,Cornelius,NC,3000,$100M-$200M,Member engagement AI,$8K-$20K,VP of Technology,www.burnbootcamp.com,3,350+ locations,info@burnbootcamp.com,contact@burnbootcamp.com,(021) 700-8361,(176) 617-0287; (541) 818-5427,pattern,,,[first].[last]@burnbootcamp.com; [f][last]@burnbootcamp.com; [first]@burnbootcamp.com; [first][last]@burnbootcamp.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+Technology%22+%22Burn+Boot+Camp%22,https://www.linkedin.com/company/burn-boot-camp/,,https://twitter.com/burnbootcamp,https://www.facebook.com/BurnBootCamp,https://www.instagram.com/burnbootcamp/,https://www.youtube.com/c/BurnBootCamp,,https://www.google.com/search?q=Burn+Boot+Camp+%22VP+of+Technology%22+site%3Alinkedin.com%2Fin
252,The Exercise Coach,Fitness / Gym Franchises,Personal Training,Lake Zurich,IL,1000,$25M-$50M,Scheduling AI,$5K-$15K,Director of Operations,www.exercisecoach.com,3,140+ studios,info@exercisecoach.com,contact@exercisecoach.com,(177) 006-7602,(177) 006-7726; (177) 006-7604,pattern,,,[first].[last]@exercisecoach.com; [f][last]@exercisecoach.com; [first]@exercisecoach.com; [first][last]@exercisecoach.com,https://www.linkedin.com/search/results/people/?keywords=%22Director+of+Operations%22+%22The+Exercise+Coach%22,https://www.linkedin.com/company/the-exercise-coach-illinois/,,https://twitter.com/enjoystrength,https://www.facebook.com/theexercisecoach/,https://www.instagram.com/theexercisecoach/,https://www.youtube.com/channel/UCJn2uiUCAumWilp3k_eTk2Q,,https://www.google.com/search?q=The+Exercise+Coach+%22Director+of+Operations%22+site%3Alinkedin.com%2Fin
253,StretchLab,Fitness / Gym Franchises,Recovery/Stretch,Irvine,CA,3000,$50M-$100M,Appointment scheduling AI,$8K-$15K,VP of Technology,www.stretchlab.com,3,Xponential brand; 300+ studios,info@stretchlab.com,contact@stretchlab.com,(674) 461-0524,(755) 627-2642; (674) 452-5965,pattern,,,[first].[last]@stretchlab.com; [f][last]@stretchlab.com; [first]@stretchlab.com; [first][last]@stretchlab.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+Technology%22+%22StretchLab%22,https://www.linkedin.com/company/stretchlab/,,https://x.com/mapbox,https://www.facebook.com/stretchlabofficial,https://www.instagram.com/stretchlabofficial,https://www.youtube.com/channel/UCE7ASlSWBKwwMteai5hsc_Q,,https://www.google.com/search?q=StretchLab+%22VP+of+Technology%22+site%3Alinkedin.com%2Fin
254,TITLE Boxing Club,Fitness / Gym Franchises,Boxing Fitness,Kansas City,MO,1500,$25M-$50M,Lead nurturing AI,$5K-$15K,Director of Marketing,www.titleboxingclub.com,3,150+ locations,info@titleboxingclub.com,,(911) 563-9424,(765) 846-1994; (914) 594-8118,pattern,,,[first].[last]@titleboxingclub.com; [f][last]@titleboxingclub.com; [first]@titleboxingclub.com; [first][last]@titleboxingclub.com,https://www.linkedin.com/search/results/people/?keywords=%22Director+of+Marketing%22+%22TITLE+Boxing+Club%22,https://www.linkedin.com/company/title-boxing-club,,https://x.com/mapbox,https://www.facebook.com/TITLEBoxingClub/,https://www.instagram.com/titleboxingclub/,,,https://www.google.com/search?q=TITLE+Boxing+Club+%22Director+of+Marketing%22+site%3Alinkedin.com%2Fin
255,Row House,Fitness / Gym Franchises,Boutique Fitness,Irvine,CA,1500,$25M-$50M,Member retention AI,$5K-$15K,VP of Operations,www.therowhouse.com,3,Xponential brand; rowing focus,marketing@therowhouse.com,,(519) 167-8449,(674) 442-7858; (736) 974-4058,scraped,,,[first].[last]@therowhouse.com; [f][last]@therowhouse.com; [first]@therowhouse.com; [first][last]@therowhouse.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+Operations%22+%22Row+House%22,,,https://x.com/mapbox,,,,,https://www.google.com/search?q=Row+House+%22VP+of+Operations%22+site%3Alinkedin.com%2Fin
256,Barrys,Fitness / Gym Franchises,Boutique Fitness,Los Angeles,CA,2000,$100M-$200M,Scheduling automation AI,$10K-$20K,CTO,www.barrys.com,3,80+ studios,info@barrys.com,contact@barrys.com,(464) 308-6696,(511) 589-6696; (964) 063-2232,pattern,,,[first].[last]@barrys.com; [f][last]@barrys.com; [first]@barrys.com; [first][last]@barrys.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22Barrys%22,https://www.linkedin.com/company/barry,,https://x.com/barrysbootcamp,https://www.facebook.com/BarrysBootcamp/,https://www.instagram.com/barrys/,,,https://www.google.com/search?q=Barrys+%22CTO%22+site%3Alinkedin.com%2Fin
257,SoulCycle,Fitness / Gym Franchises,Cycling,New York,NY,2000,$100M-$200M,Member engagement AI,$10K-$20K,VP of Technology,www.soul-cycle.com,3,Premium cycling studios,yoursoulmatters@soul-cycle.com,,(292) 486-1034,(647) 595-0959; (646) 755-6872,scraped,,,[first].[last]@soul-cycle.com; [f][last]@soul-cycle.com; [first]@soul-cycle.com; [first][last]@soul-cycle.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+Technology%22+%22SoulCycle%22,,,https://twitter.com/soulcycle/,https://www.facebook.com/pages/,https://instagram.com/soulcycle/,,,https://www.google.com/search?q=SoulCycle+%22VP+of+Technology%22+site%3Alinkedin.com%2Fin
258,Equinox,Fitness / Gym Franchises,Premium Fitness,New York,NY,10000,$1B+,Personalization AI,$20K-$40K,Chief Digital Officer,www.equinox.com,5,Premium fitness brand; 100+ clubs,concierge@equinox.com,pr@equinox.com,(453) 347-0681,(276) 376-9630; (459) 726-3290,scraped,,,[first].[last]@equinox.com; [f][last]@equinox.com; [first]@equinox.com; [first][last]@equinox.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Digital+Officer%22+%22Equinox%22,,,https://x.com/fonts/,https://www.facebook.com/Equinox,https://www.instagram.com/equinox/,,,https://www.google.com/search?q=Equinox+%22Chief+Digital+Officer%22+site%3Alinkedin.com%2Fin
259,Life Time Fitness,Fitness / Gym Franchises,Premium Fitness,Chanhassen,MN,30000,$1B+,Member engagement AI,$25K-$50K,Chief Technology Officer,www.lifetime.life,5,170+ destinations; NYSE listed,info@lifetime.life,contact@lifetime.life,(701) 881-2414,(905) 590-1499,pattern,,,[first].[last]@lifetime.life; [f][last]@lifetime.life; [first]@lifetime.life; [first][last]@lifetime.life,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Technology+Officer%22+%22Life+Time+Fitness%22,,,,https://www.facebook.com/LifeTime.Life,https://instagram.com/lifetime.life,,,https://www.google.com/search?q=Life+Time+Fitness+%22Chief+Technology+Officer%22+site%3Alinkedin.com%2Fin
260,LA Fitness,Fitness / Gym Franchises,Full-Service Gym,Irvine,CA,10000,$1B+,Member retention AI,$20K-$35K,VP of Technology,www.lafitness.com,4,700+ clubs,info@lafitness.com,contact@lafitness.com,(638) 901-5197,(102) 335-1969; (100) 000-0000,pattern,,,[first].[last]@lafitness.com; [f][last]@lafitness.com; [first]@lafitness.com; [first][last]@lafitness.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+Technology%22+%22LA+Fitness%22,,,https://x.com/LAFitness,https://www.facebook.com/LAFitness,https://www.instagram.com/LAFitness,,,https://www.google.com/search?q=LA+Fitness+%22VP+of+Technology%22+site%3Alinkedin.com%2Fin
261,24 Hour Fitness,Fitness / Gym Franchises,Full-Service Gym,San Ramon,CA,8000,$500M-$1B,Scheduling automation AI,$15K-$30K,CTO,www.24hourfitness.com,4,300+ clubs,info@24hourfitness.com,contact@24hourfitness.com,(230) 086-6441,(033) 126-0218; (771) 867-9317,pattern,,,[first].[last]@24hourfitness.com; [f][last]@24hourfitness.com; [first]@24hourfitness.com; [first][last]@24hourfitness.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%2224+Hour+Fitness%22,,,,https://www.facebook.com/24HourFitness,https://www.instagram.com/24HourFitness,,,https://www.google.com/search?q=24+Hour+Fitness+%22CTO%22+site%3Alinkedin.com%2Fin
262,YMCA of Greater New York,Fitness / Gym Franchises,Community Fitness,New York,NY,5000,$200M-$500M,Member engagement AI,$15K-$25K,CIO,www.ymcanyc.org,4,Largest US YMCA association,bedstuy@ymcanyc.org,mjhangir@ymcanyc.org; dodge_contact@ymcanyc.org; flatbush_contact@ymcanyc.org,(212) 630-9600,(128) 993-3359; (153) 075-4645,scraped,,,[first].[last]@ymcanyc.org; [f][last]@ymcanyc.org; [first]@ymcanyc.org; [first][last]@ymcanyc.org,https://www.linkedin.com/search/results/people/?keywords=%22CIO%22+%22YMCA+of+Greater+New+York%22,https://www.linkedin.com/company/ymca-of-greater-new-york/,,https://twitter.com/ymcanyc,https://www.facebook.com/ymcanyc/,https://www.instagram.com/YMCANYC,,,https://www.google.com/search?q=YMCA+of+Greater+New+York+%22CIO%22+site%3Alinkedin.com%2Fin
263,UFC Gym,Fitness / Gym Franchises,MMA Fitness,Irvine,CA,3000,$100M-$200M,Lead nurturing AI,$10K-$20K,VP of Technology,www.ufcgym.com,3,150+ locations,contact@ufcgym.com,,(175) 176-3661,(115) 938-7112; (161) 002-5918,pattern,,,[first].[last]@ufcgym.com; [f][last]@ufcgym.com; [first]@ufcgym.com; [first][last]@ufcgym.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+Technology%22+%22UFC+Gym%22,,,https://twitter.com/ufcgym,https://www.facebook.com/ufcgym,https://www.instagram.com/ufcgym,,,https://www.google.com/search?q=UFC+Gym+%22VP+of+Technology%22+site%3Alinkedin.com%2Fin
264,Snap Fitness,Fitness / Gym Franchises,24-Hour Gym,Chanhassen,MN,5000,$100M-$200M,Member retention AI,$8K-$20K,Director of Technology,www.snapfitness.com,3,1000+ locations,info@snapfitness.com,contact@snapfitness.com,(048) 456-2807,(153) 510-8079,pattern,,,[first].[last]@snapfitness.com; [f][last]@snapfitness.com; [first]@snapfitness.com; [first][last]@snapfitness.com,https://www.linkedin.com/search/results/people/?keywords=%22Director+of+Technology%22+%22Snap+Fitness%22,,,,,,,,https://www.google.com/search?q=Snap+Fitness+%22Director+of+Technology%22+site%3Alinkedin.com%2Fin
265,Blink Fitness,Fitness / Gym Franchises,Value Gym,New York,NY,3000,$100M-$200M,Scheduling AI,$8K-$20K,CTO,www.blinkfitness.com,3,100+ locations,info@blinkfitness.com,contact@blinkfitness.com,(210) 922-1049,(177) 240-3517; (838) 709-6774,pattern,,,[first].[last]@blinkfitness.com; [f][last]@blinkfitness.com; [first]@blinkfitness.com; [first][last]@blinkfitness.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22Blink+Fitness%22,https://www.linkedin.com/company/officialpuregymus/,,,https://www.facebook.com/PureGymUS,https://www.instagram.com/puregymus,,,https://www.google.com/search?q=Blink+Fitness+%22CTO%22+site%3Alinkedin.com%2Fin
266,EOS Fitness,Fitness / Gym Franchises,Full-Service Gym,Phoenix,AZ,2000,$50M-$100M,Lead qualification AI,$8K-$15K,VP of Operations,www.eosfitness.com,3,Growing Southwest brand,info@eosfitness.com,contact@eosfitness.com,(978) 853-8365,(200) 465-3821; (406) 216-7793,pattern,,,[first].[last]@eosfitness.com; [f][last]@eosfitness.com; [first]@eosfitness.com; [first][last]@eosfitness.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+Operations%22+%22EOS+Fitness%22,https://www.linkedin.com/company/eosfitness,,,https://www.facebook.com/EoSFitness/,https://www.instagram.com/eosfitness/,https://www.youtube.com/@GoEOSfit,,https://www.google.com/search?q=EOS+Fitness+%22VP+of+Operations%22+site%3Alinkedin.com%2Fin
267,Xponential Fitness,Fitness / Gym Franchises,Multi-Brand,Irvine,CA,5000,$200M-$500M,Multi-brand analytics AI,$20K-$40K,Chief Technology Officer,www.xponential.com,5,Parent of 10 fitness brands; NYSE,info@xponential.com,contact@xponential.com,(166) 457-4886,(742) 875-9417; (799) 814-2403,pattern,,,[first].[last]@xponential.com; [f][last]@xponential.com; [first]@xponential.com; [first][last]@xponential.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Technology+Officer%22+%22Xponential+Fitness%22,https://www.linkedin.com/company/xponential-fitness/,,https://x.com/mapbox,https://www.facebook.com/xponentialfitness,https://www.instagram.com/xponentialfitness/,https://www.youtube.com/channel/UCOGZ2ZXmRY81WWiW-tbzDsQ,,https://www.google.com/search?q=Xponential+Fitness+%22Chief+Technology+Officer%22+site%3Alinkedin.com%2Fin
